PeakID,Chromosome,Start Position,Stop Position,T0 min,T4 min,T12 min,T20 min,T40 min,T60 min
Msn2-chr02-812809,chr02,812682,813288,1.187412565,1.474386246,1.908333913,1.786298578,1.469738068,1.660995705
Msn2-chr03-107137,chr03,107018,107368,0.061363721,0.261023906,0.754935772,0.48568519,0.503258577,0.509880461
Msn2-chr03-107785,chr03,107658,107944,-0.059487944,0.47782998,0.536224187,0.385234032,0.363326397,0.352679679
Msn2-chr03-123081,chr03,123434,123880,0.743920201,2.436994671,2.088686756,1.7800319,1.163686424,1.440628328
Msn2-chr03-125321,chr03,125226,125640,-0.213633874,-0.201722904,0.646873664,0.691891438,0.038228641,-0.315928121
Msn2-chr03-127657,chr03,127466,128040,0.198055483,0.19936944,1.2776303,0.90915419,0.824652594,0.671871165
Msn2-chr03-131657,chr03,131562,132232,-0.436986226,-0.156233607,0.797066905,0.622880486,-0.276040119,-0.490879097
Msn2-chr03-138342,chr03,138666,139080,0.737224298,1.318084186,1.151385191,1.250991728,1.175897648,0.934051959
Msn2-chr03-142837,chr03,142570,143080,0.242478445,0.350913519,0.601290433,0.77002623,0.308367183,0.258375039
Msn2-chr03-14625,chr03,14346,14952,-0.019014088,-0.603431756,0.42023048,0.907588474,-0.115149739,0.298618298
Msn2-chr03-148397,chr03,148202,148552,0.401902923,1.012668121,1.291901469,1.346279968,0.860583228,0.398806096
Msn2-chr03-151645,chr03,151434,151880,0.034571678,0.140677443,0.202460139,0.534633431,0.322132799,-0.123880605
Msn2-chr03-157305,chr03,157098,158280,-0.058505772,1.705515648,2.951272429,2.718750497,1.006220768,0.658330395
Msn2-chr03-159001,chr03,158890,159304,0.161767823,-0.129658082,0.032428217,0.644563384,0.14913982,0.847494663
Msn2-chr03-163533,chr03,163306,163912,-0.064204562,2.272337576,2.38507712,1.556946914,0.582925042,0.25138842
Msn2-chr03-168793,chr03,168170,169032,0.365577163,0.245756651,0.893695179,1.059671109,0.527677425,0.359504426
Msn2-chr03-176889,chr03,176618,177032,0.260994681,-0.087147206,0.648462675,0.654951374,0.153903134,0.74730539
Msn2-chr03-197409,chr03,197098,197800,-0.140878026,-0.115368731,0.885509319,0.774456039,-0.194893377,-0.39881717
Msn2-chr03-225477,chr03,225290,225640,-0.163632916,1.257052604,1.366895413,0.805483393,0.530967407,0.113265686
Msn2-chr03-227965,chr03,227690,228232,0.513598235,0.551329927,1.020216199,1.330298478,0.864717077,0.76604272
Msn2-chr03-228809,chr03,228522,229128,-0.141336831,1.516506374,1.151760602,0.657888542,0.426740803,-0.422316087
Msn2-chr03-236585,chr03,236362,236872,-0.090602939,-0.054175968,1.016155452,0.962220036,0.098829279,0.027025751
Msn2-chr03-238705,chr03,238474,238984,0.341609336,0.972954751,1.206698006,0.762603942,0.405297599,0.347144741
Msn2-chr03-262841,chr03,262570,263080,-0.418734121,-0.329419782,0.610659596,0.659862407,-0.076644218,-0.004735026
Msn2-chr03-29233,chr03,28874,29640,-0.469822906,-0.429246592,0.565559217,0.843206139,-0.264131997,-0.47468115
Msn2-chr03-295446,chr03,295210,295624,0.447058258,0.70794633,1.040309942,1.053222055,0.735881636,0.736184486
Msn2-chr03-299161,chr03,298570,299688,-0.11661996,0.289965526,1.152650907,0.908944593,-0.070374856,-0.108128311
Msn2-chr03-305614,chr03,305578,306184,0.110491738,1.360627471,1.829170789,1.320345712,0.38890205,-0.243201262
Msn2-chr03-30729,chr03,30602,30952,-0.397305687,-0.753776276,0.550803965,0.808351469,-0.047495756,-0.575683093
Msn2-chr03-316254,chr03,316362,316712,1.314328683,2.437229771,2.328436927,2.172563635,2.225934234,1.831200528
Msn2-chr03-38881,chr03,38538,39112,-0.209448515,-0.061595062,0.93992722,0.871519955,0.259593907,-0.09943551
Msn2-chr03-50860,chr03,50570,51304,0.130718209,2.399715815,2.050248529,1.28576585,1.404895507,1.500170216
Msn2-chr03-570,chr03,1,648,1.165726028,2.219306755,2.049091268,2.140653366,1.931872357,1.560650705
Msn2-chr03-68633,chr03,68490,68808,0.320970087,1.566377833,1.75459803,0.884770523,0.187937827,0.147116845
Msn2-chr03-74053,chr03,73802,74088,-0.304535896,0.342687825,1.000312531,1.224193611,0.337651475,-0.396484205
Msn2-chr03-78281,chr03,78282,78824,-0.12045217,2.116962429,2.347348597,1.621080559,0.659741506,0.113520259
Msn2-chr03-84463,chr03,84106,84520,0.137932058,0.121478938,0.430458242,0.822668524,0.118706294,0.074785493
Msn2-chr03-85006,chr03,84746,85128,0.037305477,-0.084494417,0.390456176,0.714873578,0.033270679,0.113536583
Msn2-chr03-85425,chr03,85130,85736,0.559147201,1.213894773,1.516400416,1.068435212,0.677601174,0.533708029
Msn2-chr04-1011790,chr04,1011402,1012168,-0.02300039,1.456893333,1.749170129,1.029914728,0.147884797,-0.350120965
Msn2-chr04-1013813,chr04,1013514,1013960,-0.215524565,1.706208362,2.17427856,1.198699695,0.563912629,0.011755228
Msn2-chr04-1017270,chr04,1017066,1017480,0.658145379,0.56289425,1.498168798,1.018136105,0.951365161,0.913237876
Msn2-chr04-1023284,chr04,1023082,1023528,0.14394847,-0.107292823,0.479108862,0.76658504,0.394255213,0.346446482
Msn2-chr04-1049825,chr04,1049386,1050440,-0.0608917,0.151182263,1.078103733,0.743101212,0.25755683,-0.199336858
Msn2-chr04-1056129,chr04,1055754,1056424,-0.011448173,1.300094512,1.150278617,0.544904691,0.108406521,-0.092571576
Msn2-chr04-106916,chr04,106602,107048,0.030307671,0.780651416,1.131170157,0.930924532,0.574889002,0.114773656
Msn2-chr04-1075540,chr04,1075306,1075816,0.580568132,0.841086711,1.673125766,1.280342968,1.056422096,1.0796294
Msn2-chr04-1080621,chr04,1080554,1080936,-0.118146317,2.736284499,2.44361655,1.807052555,0.607876778,0.305542323
Msn2-chr04-1095661,chr04,1095146,1095624,0.482380265,0.248079497,1.01009398,0.906052954,0.783660339,0.712663895
Msn2-chr04-1096281,chr04,1095786,1096936,0.570029451,1.480083681,1.754216302,1.385048958,0.782159403,0.417157332
Msn2-chr04-1140745,chr04,1140490,1140872,-0.172922921,1.08234669,0.726082987,0.148540479,0.114065672,0.120713421
Msn2-chr04-1150902,chr04,1150602,1151080,0.703821089,0.374970946,1.237769276,1.515409064,1.023242648,0.716942648
Msn2-chr04-1174212,chr04,1173962,1174472,0.078931091,0.023951514,0.800787286,0.923441869,0.619707886,0.393439111
Msn2-chr04-1175817,chr04,1175530,1176104,0.462350453,0.45324816,0.793336603,0.948442469,0.486419427,0.643600781
Msn2-chr04-1183513,chr04,1182986,1183976,0.193115249,2.136861394,2.329174918,2.127559926,1.687262309,1.585022502
Msn2-chr04-1190009,chr04,1189930,1190376,0.173759732,0.296897498,0.548961153,0.566497426,0.325376761,0.737456122
Msn2-chr04-1201861,chr04,1201546,1201960,0.086078269,-0.148503137,0.599799071,0.672891689,0.368707297,0.205019228
Msn2-chr04-1207212,chr04,1206794,1207112,0.315524454,0.732171524,1.116468564,1.047182321,0.234486396,0.1267774
Msn2-chr04-1213929,chr04,1213706,1214184,-0.042450979,0.268201934,0.720818022,0.681752294,0.27615629,-0.477301158
Msn2-chr04-1214713,chr04,1214442,1214952,0.232046935,0.226072166,0.24530594,0.791196761,0.313600165,1.312556929
Msn2-chr04-1233892,chr04,1233674,1234184,-0.076703749,0.504362617,1.364220751,0.902048133,0.4704184,0.541187094
Msn2-chr04-1236654,chr04,1236202,1236648,0.101715434,0.728883267,0.822239353,0.8046427,0.623320717,0.222604758
Msn2-chr04-1238369,chr04,1238250,1238536,0.434626867,0.283777733,0.547093816,0.667753625,0.264141008,1.111556189
Msn2-chr04-1242465,chr04,1242058,1242536,0.015109518,1.327648017,1.319126339,0.68838609,0.29857302,0.184883222
Msn2-chr04-1250281,chr04,1250218,1250536,-0.071855574,0.613156488,0.926239,0.665687869,0.837376059,0.585540215
Msn2-chr04-1251897,chr04,1251658,1252072,-0.206707418,0.212649987,0.955677897,0.889012465,0.379059369,-0.991592174
Msn2-chr04-1257081,chr04,1256938,1257288,0.493910903,0.660663102,1.694306466,1.598487758,1.180490189,1.457576294
Msn2-chr04-1278862,chr04,1278410,1279080,-0.158545478,1.794615712,1.265671097,0.565733272,0.755305334,-0.210997584
Msn2-chr04-130510,chr04,130186,130664,0.303399695,-0.079556812,0.729798705,0.519207456,0.326801051,0.298815685
Msn2-chr04-1305661,chr04,1305418,1305896,0.452651346,-0.085480025,0.798905106,0.816506656,0.452171597,0.349073916
Msn2-chr04-1324945,chr04,1324810,1325192,0.189429375,1.315958712,0.554601116,0.15888176,0.565802729,0.370176602
Msn2-chr04-1328934,chr04,1328650,1329096,0.399114192,1.381035057,1.085335485,1.079108019,1.015161738,1.023743457
Msn2-chr04-1329841,chr04,1329770,1330152,0.209964839,1.102439935,0.479552485,0.653730278,0.623508346,0.057415485
Msn2-chr04-133057,chr04,132586,133544,-0.016250667,1.781513861,2.682044073,2.349190785,1.061647204,0.415580563
Msn2-chr04-1345425,chr04,1345194,1345640,-0.133898317,0.910855979,1.335426593,0.856142451,0.20051448,-0.795644364
Msn2-chr04-134553,chr04,134378,134760,0.733305076,1.285008094,0.897033299,0.931668915,0.998171103,0.936647467
Msn2-chr04-135297,chr04,135082,135528,-0.124889231,1.235582005,1.263206026,1.101940121,0.460651156,0.55238295
Msn2-chr04-1362521,chr04,1362378,1362792,0.034934658,1.316373385,1.384481829,0.769199539,0.276339707,-0.248615796
Msn2-chr04-1365697,chr04,1365354,1365928,-0.112811002,0.232315254,0.872802521,1.206964226,1.231420601,0.994825352
Msn2-chr04-1402993,chr04,1402858,1403176,0.210889604,-0.063734718,0.636100297,1.042122814,0.459335095,0.399916552
Msn2-chr04-1410548,chr04,1410154,1410696,0.051010486,1.667954533,2.003570502,1.191591616,0.456300247,0.10024317
Msn2-chr04-1412356,chr04,1412138,1412552,0.20363148,0.708358094,0.695191083,0.67313591,0.717524714,0.8815831
Msn2-chr04-1416788,chr04,1416618,1417032,0.512033883,0.334492451,0.698950707,0.679776641,0.300991734,1.263236449
Msn2-chr04-1420548,chr04,1420010,1420904,0.101243641,1.90576117,1.820345945,0.947634737,0.378313608,0.426959378
Msn2-chr04-1428921,chr04,1428522,1429352,-0.147511628,1.458856667,1.68042329,1.002964759,0.861756999,0.352362001
Msn2-chr04-1434553,chr04,1434314,1434856,-0.10319495,0.426537543,1.349361118,0.944073456,0.30107871,0.517338304
Msn2-chr04-1461809,chr04,1461578,1462088,0.33386745,-0.21557265,0.694968676,0.671877327,0.496913205,0.431843322
Msn2-chr04-1468894,chr04,1468522,1469192,-0.406862339,1.332993125,2.006322942,1.104501179,0.236565474,-0.745304936
Msn2-chr04-1471030,chr04,1470922,1471144,-0.198684499,0.423806951,1.619620681,1.288703407,0.799781703,1.184239026
Msn2-chr04-1476702,chr04,1476490,1476680,-0.155041361,0.367315521,1.022808906,0.494187331,0.443507985,0.551662098
Msn2-chr04-148129,chr04,147914,148296,0.086919522,1.414030948,1.126818149,0.47680826,0.388187754,0.482295748
Msn2-chr04-1490115,chr04,1489450,1489960,0.278396602,1.30219595,1.715520751,1.525568938,0.485625413,0.045398512
Msn2-chr04-1502409,chr04,1501962,1502856,-0.234752907,0.10010446,1.069657489,0.941092524,0.284438606,0.070645013
Msn2-chr04-1525204,chr04,1525194,1525672,0.905737857,1.717591469,1.689397601,1.965872985,1.671075916,1.499111642
Msn2-chr04-1531788,chr04,1531626,1532008,0.439857703,0.49427913,0.730184711,0.899378315,0.590443788,0.420217732
Msn2-chr04-156105,chr04,155914,156392,-0.173760206,-0.406617957,1.289867997,1.179553973,0.399243277,0.318700263
Msn2-chr04-159561,chr04,159114,160072,-0.133514162,0.48685118,0.933309822,1.024501476,0.365752879,0.112881624
Msn2-chr04-18345,chr04,17962,18760,0.211514333,0.325828312,0.115995357,0.074860245,0.683016362,1.436032826
Msn2-chr04-190974,chr04,190698,191272,0.124472108,0.29914843,0.605312124,0.714724695,0.49052142,0.67054419
Msn2-chr04-216121,chr04,215978,216424,0.23277727,0.63506687,0.846604112,0.504786392,0.614073107,0.997023039
Msn2-chr04-224041,chr04,223850,224264,0.026848462,-0.112228565,0.673934727,0.612855874,0.330343352,0.426567425
Msn2-chr04-229297,chr04,229034,229480,0.044798286,0.142638858,-0.019092375,0.759872509,0.498571833,0.655524512
Msn2-chr04-230913,chr04,230666,231240,0.075683331,1.120220588,1.439242303,0.842758925,0.358338892,-0.0326247
Msn2-chr04-234446,chr04,234186,234600,-0.032482342,0.527315883,1.64829048,1.067337397,0.005101287,-0.513332538
Msn2-chr04-236529,chr04,236362,236808,0.475139609,0.709187048,0.619963273,0.452888402,0.768917181,0.385140173
Msn2-chr04-239001,chr04,238730,239336,0.286596287,0.822538777,1.235267807,0.840662545,0.787198161,1.274950742
Msn2-chr04-239969,chr04,239434,240328,-0.311957772,1.410780132,2.018236732,1.130733238,0.475580397,0.24194952
Msn2-chr04-240529,chr04,240170,240616,0.029687468,0.606092386,1.567888551,1.209568287,0.73566621,1.063786986
Msn2-chr04-240761,chr04,241290,241768,0.018078796,1.289554317,1.045092077,0.636228702,0.568352524,0.927473917
Msn2-chr04-264377,chr04,264042,264552,-0.236636017,0.085861753,0.509586133,0.615153944,0.025907351,0.542399494
Msn2-chr04-306885,chr04,306602,306984,0.273312985,-0.447176032,0.716001763,1.017194775,0.255486497,0.007423784
Msn2-chr04-357369,chr04,356906,357608,0.096371843,1.621833435,1.810879184,0.847305109,0.312332631,-0.097147263
Msn2-chr04-359597,chr04,359306,359816,0.293342515,0.149578122,0.951526247,0.78019045,0.549432635,0.279479973
Msn2-chr04-36417,chr04,36202,36552,0.242584093,-0.240109326,0.753539255,0.856015039,0.147956136,0.182976497
Msn2-chr04-366505,chr04,366058,366792,-0.143036917,1.152095874,1.855413048,1.117294449,0.275192076,-0.211812207
Msn2-chr04-368788,chr04,368394,369384,-0.390169907,2.281367051,2.368452831,1.535994845,0.222556701,-0.412029593
Msn2-chr04-386633,chr04,386442,386824,-0.475363337,0.468579551,1.302154579,1.505456643,0.453875584,-0.53910695
Msn2-chr04-399361,chr04,399114,399656,-0.095368461,0.271074154,0.52909715,0.601639795,0.088236813,0.454120206
Msn2-chr04-407609,chr04,407530,407976,0.296692794,1.048215313,1.68794305,1.575468642,0.671400309,0.023878162
Msn2-chr04-411030,chr04,410090,410696,0.633787201,1.312783795,1.25675361,0.993221604,0.885977329,0.604246734
Msn2-chr04-416889,chr04,416682,417256,-0.541633603,1.299738015,1.946126896,1.664579817,0.585563455,-0.00293713
Msn2-chr04-432153,chr04,431818,432552,-0.001935307,1.251480955,1.567898105,0.971370985,0.136440223,-0.196680807
Msn2-chr04-434309,chr04,434058,434536,0.433457114,-0.072883151,0.692243833,0.823396744,0.422537408,0.455396399
Msn2-chr04-437845,chr04,437546,438024,0.419223879,0.072865924,0.836383227,0.826122708,0.55682168,0.588867296
Msn2-chr04-446705,chr04,446538,446856,0.082940779,0.465691505,0.696325766,0.449440748,0.36570987,0.226020135
Msn2-chr04-452345,chr04,452138,452520,-0.09138142,0.355027983,0.445097816,0.693321755,0.730940507,1.03852758
Msn2-chr04-465673,chr04,464970,465800,-0.111975203,2.042594683,2.688306393,2.109209801,1.069329824,0.528918954
Msn2-chr04-488905,chr04,488714,489160,0.525305893,0.052114042,1.191853161,1.112308158,0.925414413,0.779999437
Msn2-chr04-504673,chr04,504298,504776,-0.094615303,1.449399647,1.044826044,0.584937317,0.428187392,0.625051657
Msn2-chr04-507065,chr04,506890,507304,0.13571374,1.072136087,2.171382934,1.692655423,0.684944723,0.409708297
Msn2-chr04-508377,chr04,508234,509192,0.690049847,0.286335574,0.736523998,1.115415485,0.419796316,0.65675612
Msn2-chr04-509,chr04,1,488,1.19428518,1.964460289,1.888087215,2.017591708,1.6751945,1.691494262
