Gene ID,Gene Symbol,Category,Chromosome,Loci Start,Loci End,Strand,Distance to TSS,PeakID,Significantly Enriched over WCE,T0 min,T4 min,T12 min,T20 min,T40 min,T60 min
YER066C-A,,Exon/CD,chrv,291466,292072,-,434,Msn2-chr05-291801,y,-0.022138799,0.26023906,0.694182523,1.053954137,0.62078484,1.098773483
YER067C-A,,Exon/CD,chrv,292330,292776,-,10,Msn2-chr05-292361,y,0.233197262,-0.177998574,0.230561878,0.797521254,0.551047536,1.427916249
YER073W,ALD5,Exon/CD,chrv,305258,305640,+,1419,Msn2-chr05-305449,n,0.459252518,0.824033892,0.259391546,0.417020835,0.219148601,-0.046763937
YER074W,RPS24A,Upstream,chrv,305770,306280,+,-298,Msn2-chr05-306025,y,-0.223319092,0.868324287,0.582016038,0.585781963,0.121376009,0.780549746
tA(UGC)E,,Exon/CD,chrv,311850,312264,-,38,Msn2-chr05-311999,y,1.039439805,1.222322231,1.457517404,1.049038463,1.143386416,0.954221439
YER078W-A,,Exon/CD,chrv,318698,318824,+,115,Msn2-chr05-318788,y,-0.581569244,-0.218138321,0.823698586,0.027234031,0.002480464,-0.334996791
YER079W,,Exon/CD,chrv,319242,319848,+,625,Msn2-chr05-319545,n,-0.190992084,-0.571594438,0.431555728,0.679530618,-0.04147539,-0.014859358
SRG1,SRG1,Exon/CD,chrv,321866,322824,+,133,Msn2-chr05-322345,n,0.286596532,-0.028673246,1.080699819,1.154310952,0.588151582,0.18171504
YER081W,SER3,Exon/CD,chrv,322954,323272,+,427,Msn2-chr05-322921,n,0.576971254,0.021216045,-0.06644261,0.079077621,0.550171027,0.990961731
YER083C,GET2,Exon/CD,chrv,326378,326760,-,462,Msn2-chr05-326569,n,0.333115204,1.504263265,0.279821172,0.076160868,0.252932292,0.938979573
YER088C-A,,Exon/CD,chrv,335594,336040,-,202,Msn2-chr05-335629,y,0.080177774,2.870143692,2.638130409,1.33649484,0.972065417,0.551342522
YER089C,PTC2,Exon/CD,chrv,336874,337320,-,243,Msn2-chr05-337097,n,-0.114702604,0.546639402,0.437439545,0.375333408,0.579182975,1.294067
YER089C,PTC2,Upstream,chrv,337290,337800,-,-205,Msn2-chr05-337569,y,-0.5117497,-0.671234605,0.468128956,0.795332331,0.02346243,-0.327462346
YER091C,MET6,Exon/CD,chrv,339754,340136,-,2222,Msn2-chr05-339945,n,0.37955256,0.394076146,0.449819025,-0.244603516,-0.194196822,0.490083785
YER091C-A,,Exon/CD,chrv,342282,342632,-,154,Msn2-chr05-342521,y,0.1267031,1.235463504,1.572584919,0.991829294,0.099602857,-0.322286705
YER094C,PUP3,Exon/CD,chrv,348586,349032,-,537,Msn2-chr05-348809,n,0.392374847,0.826491252,0.4035472,0.083881796,0.387512173,0.852698878
YER094C,PUP3,Upstream,chrv,349290,349608,-,-103,Msn2-chr05-349469,y,-0.080290089,1.028541288,1.171306036,0.989421658,0.528817223,0.7190718
YER095W,RAD51,Exon/CD,chrv,349866,350344,+,125,Msn2-chr05-350105,n,0.276789754,1.666513732,0.321433029,0.205737277,0.425106873,0.639537499
tE(UUC)E2,,Upstream,chrv,354666,355176,+,-13,Msn2-chr05-354985,y,0.470851182,0.607371566,1.131711533,0.948308403,0.634791707,0.633158058
YER102W,RPS8B,Exon/CD,chrv,362634,363848,+,141,Msn2-chr05-363241,n,0.466213959,0.318749936,0.226442471,0.359319653,0.047377753,-0.010144902
YER103W,SSA4,Upstream,chrv,364202,364648,+,-164,Msn2-chr05-364799,y,-0.124648816,0.870088227,2.609169964,2.754507903,1.868965462,0.997399564
YER103W,SSA4,Exon/CD,chrv,366250,366696,+,1884,Msn2-chr05-366473,n,0.418122263,1.617962898,0.432507567,1.177239371,1.025063441,0.056257355
YER107C,GLE2,Exon/CD,chrv,374090,374600,-,200,Msn2-chr05-374345,n,0.362787807,0.150654614,0.160462774,0.037209337,0.080387752,1.128983114
YER117W,RPL23B,Upstream,chrv,396266,396680,+,-296,Msn2-chr05-396473,n,-0.202134638,0.915861634,0.497989041,0.502133576,-0.079958346,-0.100854423
YER117W,RPL23B,Exon/CD,chrv,396874,397736,+,536,Msn2-chr05-397305,n,0.62035454,0.213888266,0.159988469,0.05527152,-0.054887809,0.133535593
YER119C,AVT6,Exon/CD,chrv,400586,401032,-,33,Msn2-chr05-400809,n,0.249341117,0.952769288,0.709319597,0.31606833,0.69962692,0.251374186
YER124C,DSE1,Exon/CD,chrv,407562,407976,-,1294,Msn2-chr05-407769,n,0.345046083,0.075985083,0.194571662,-0.085012948,0.092075833,1.185898575
YER130C,COM2,Upstream,chrv,422698,422888,-,-347,Msn2-chr05-422777,y,-0.250867269,1.489121194,1.832501181,0.728792758,0.184870013,-0.465535318
snR4,SNR4,Exon/CD,chrv,424650,425064,+,159,Msn2-chr05-424833,n,0.511625592,0.191664749,0.605678138,0.484463526,-0.094710236,0.107158278
snR52,SNR52,Upstream,chrv,431082,431592,-,-117,Msn2-chr05-431417,y,0.466029592,0.328390066,1.221312003,1.221977975,0.60514875,0.58070013
YER133W,GLC7,Intron,chrv,432490,433064,+,282,Msn2-chr05-432713,y,0.227356886,-0.021037342,1.028489416,0.901898181,0.293542305,0.836986984
tH(GUG)E2,,Upstream,chrv,434250,435016,-,-21,Msn2-chr05-434657,y,0.253734614,0.045206468,0.66688578,0.78445025,0.417724734,0.455675052
tK(CUU)E2,,Upstream,chrv,435818,436072,-,-121,Msn2-chr05-435955,y,0.274332036,-0.025546374,0.599137349,0.900897846,0.265921157,0.527229264
YER135C,,Exon/CD,chrv,437802,438216,-,335,Msn2-chr05-438009,n,0.103924609,0.135527148,0.530385968,0.472701604,-0.19491067,0.131601001
tV(AAC)E1,,Exon/CD,chrv,438506,439016,+,61,Msn2-chr05-438897,y,0.290014053,-0.308293226,0.619378109,0.749845266,0.451311617,0.290176691
SCR1,SCR1,Exon/CD,chrv,441738,442248,+,6,Msn2-chr05-442169,y,0.952227868,1.652744415,1.71650329,1.01475388,0.831880779,0.604536933
YER138C,,Exon/CD,chrv,444778,445288,-,3991,Msn2-chr05-444729,n,0.65402421,0.060964248,0.105919865,0.233709481,0.344475041,0.278830089
YER138C,,Exon/CD,chrv,446378,446856,-,2407,Msn2-chr05-446649,n,0.701233722,0.678622081,0.279509742,0.28499075,0.635573878,0.603794377
YER138C,,Exon/CD,chrv,447210,447592,-,1623,Msn2-chr05-447433,n,0.760522901,0.393806192,0.282910966,0.668082634,0.7082272,0.502221721
YER137C-A,,Upstream,chrv,448810,449320,-,-41,Msn2-chr05-448995,y,0.573066952,1.058178825,1.316505313,1.159883713,0.687722199,0.415142154
YER141W,COX15,Exon/CD,chrv,453162,453864,+,54,Msn2-chr05-453513,n,-0.072148201,0.023218139,0.756033877,0.458025597,0.318115953,0.297055368
YER144C,UBP5,Upstream,chrv,459850,460872,-,-138,Msn2-chr05-460361,n,0.037541732,0.53625039,0.89116156,0.426469012,0.170567401,-0.12505267
YER145C,FTR1,Upstream,chrv,461578,462472,-,-285,Msn2-chr05-461833,y,-0.129281705,2.331662503,2.175780907,1.181360622,0.32835998,0.160933624
YER145C-A,,Exon/CD,chrv,462570,463016,-,30,Msn2-chr05-462793,n,-0.186675304,0.974166748,0.659897963,-0.018901854,0.031659253,0.515696406
YER147C,SCC4,Exon/CD,chrv,463242,463656,-,1393,Msn2-chr05-463449,n,0.096673999,2.070697709,0.529851714,-0.273730569,0.227101264,-0.256817142
YER147C,SCC4,Exon/CD,chrv,463978,464360,-,673,Msn2-chr05-464169,n,0.092878637,1.517089924,0.02098856,-0.325092704,0.036540086,0.164818408
YER148W,SPT15,Exon/CD,chrv,465642,466024,+,530,Msn2-chr05-465793,y,-0.035216474,0.24495218,0.56306836,0.706080812,0.534851098,0.694143098
YER150W,SPI1,Upstream,chrv,468010,468488,+,-121,Msn2-chr05-468229,y,-0.025687359,1.469816875,2.630590819,2.532319111,0.42796002,-0.095125551
tV(AAC)E2,,Exon/CD,chrv,469226,469736,+,24,Msn2-chr05-469485,y,-0.026571792,-0.075812964,0.437739672,0.70156481,0.487075418,0.188490653
YER152W-A,,Exon/CD,chrv,473738,474312,+,540,Msn2-chr05-474025,n,0.082471038,2.230138767,1.138593265,0.476524363,0.238644895,0.17684212
YER154W,OXA1,Exon/CD,chrv,474442,475784,+,93,Msn2-chr05-475033,y,0.101768102,2.153270215,1.840531187,0.720875168,0.343905142,-0.201444536
YER156C,,Exon/CD,chrv,483338,483688,-,828,Msn2-chr05-483513,n,0.555657517,1.534882507,0.34442342,-0.310424202,-0.031218767,-0.043273043
tE(UUC)E3,,Upstream,chrv,487210,487656,-,-31,Msn2-chr05-487473,y,0.317017601,0.106132817,0.826868457,1.086634999,0.605700545,0.368671982
YER158W-A,,Upstream,chrv,490698,491560,+,-358,Msn2-chr05-491428,y,-0.225155446,1.55947755,2.233014483,1.417687654,0.220712334,-0.508291123
tR(ACG)E,,Exon/CD,chrv,492202,492616,-,15,Msn2-chr05-492766,y,0.506300487,0.744623088,1.229939941,1.344538624,0.645707092,0.579613158
YER160C,,Exon/CD,chrv,495466,495816,-,2483,Msn2-chr05-495921,n,0.676159668,0.562094348,0.154841137,0.163729202,0.643414865,0.607237509
YER160C,,Exon/CD,chrv,496330,497256,-,1331,Msn2-chr05-496793,n,0.624690968,0.38344927,0.416425975,0.467341918,0.589524991,0.576503076
YER160C,,Exon/CD,chrv,497802,498344,-,51,Msn2-chr05-497900,y,0.608924791,1.303314428,1.438252528,1.291875659,0.825927915,0.422556615
YER163C,GCG1,Exon/CD,chrv,503530,503912,-,61,Msn2-chr05-503838,y,0.171024079,0.800782978,0.907859092,0.97220581,0.699404673,1.300055898
YER165W,PAB1,Exon/CD,chrv,511274,512136,+,1332,Msn2-chr05-511705,n,0.042866765,1.330030437,0.374649969,0.064543799,0.432048409,0.432415329
YER168C,CCA1,Upstream,chrv,522538,523112,-,-156,Msn2-chr05-522841,y,-0.322366849,-0.031603319,1.217224852,0.797981874,0.08404714,-0.027700373
YER175C,TMT1,Exon/CD,chrv,539402,539912,-,706,Msn2-chr05-539657,n,0.389029373,0.268544628,0.099828024,0.204101346,0.503682892,0.479655105
YER177W,BMH1,Exon/CD,chrv,545546,545992,+,158,Msn2-chr05-545582,y,0.681679411,1.765377444,1.788693658,1.108844416,1.25751151,1.099660856
tI(AAU)E2,,Upstream,chrv,551146,551592,-,-11,Msn2-chr05-551342,n,0.631312156,0.209874791,0.766975623,0.663664102,0.632568681,0.563858896
YER184C,TOG1,Exon/CD,chrv,558250,558664,-,223,Msn2-chr05-558457,n,0.111217794,0.168969334,0.199986373,0.409678133,0.37022742,1.143216185
YER185W,PUG1,Upstream,chrv,558762,559432,+,-357,Msn2-chr05-559097,n,-0.017280041,0.97827203,1.737697467,1.447883214,0.49723917,0.800767418
YER185W,PUG1,Upstream,chrv,559274,559368,+,-133,Msn2-chr05-559279,y,-0.244471598,1.020831485,2.284321949,1.504018282,0.521101719,1.057317942
YER185W,PUG1,Exon/CD,chrv,559658,560040,+,395,Msn2-chr05-559849,n,-0.082465621,0.171580293,-0.104734914,0.102471471,0.138738982,1.076517332
YER188C-A,,Upstream,chrv,569930,570536,-,-326,Msn2-chr05-570169,y,0.900971671,0.991993991,1.490624227,1.57093735,1.103843181,1.292557707
YER190W,YRF1-2,Exon/CD,chrv,571850,572328,+,609,Msn2-chr05-572089,n,0.308693394,1.376123152,0.129528883,-0.212061819,0.248121727,0.033560175
YER190W,YRF1-2,Exon/CD,chrv,574538,574952,+,3265,Msn2-chr05-574745,n,0.659644911,1.644879247,0.608722536,0.314697054,0.706701245,0.420339398
YER190W,YRF1-2,Exon/CD,chrv,575050,575624,+,3857,Msn2-chr05-575289,n,0.81816892,1.573181452,0.586068344,0.48010533,0.722229329,0.730947593
YER190C-B,,Exon/CD,chrv,575786,576392,-,73,Msn2-chr05-576089,n,0.442252679,1.508478743,0.508060697,0.107240698,0.510821456,0.118600919
YBL109W,,Exon/CD,chrii,5642,6216,+,139,Msn2-chr02-6131,y,0.893375709,0.933608333,1.696510461,1.691932641,1.205642353,1.240629717
YBL107W-A,,Upstream,chrii,9002,9352,+,-91,Msn2-chr02-9369,n,0.285427245,0.096070728,0.385884023,0.850699875,0.163762511,0.161624307
YBL105C,PKC1,Upstream,chrii,17706,18088,-,-201,Msn2-chr02-17897,n,0.279753528,-0.072438191,0.22449345,0.723446482,0.32966303,0.393040186
YBL100W-B,,Exon/CD,chrii,30442,31048,+,810,Msn2-chr02-30745,n,0.464457909,-0.05637677,0.456046555,0.716895293,0.329373463,0.359147099
YBL100W-B,,Exon/CD,chrii,31306,31720,+,1578,Msn2-chr02-31489,n,0.504943252,-0.008168076,0.054929499,0.383911801,0.421536394,0.664303949
tF(GAA)B,,Exon/CD,chrii,36330,36616,+,75,Msn2-chr02-36457,y,0.858960598,1.577240062,1.873190723,1.526255588,1.364299989,0.68089828
YBL093C,ROX3,Upstream,chrii,45226,45576,-,-483,Msn2-chr02-45401,n,0.131480369,1.854114956,0.704985361,0.158288809,-0.065162113,-0.916507543
YBL092W,RPL32,Exon/CD,chrii,45514,46504,+,31,Msn2-chr02-46009,n,0.280007263,0.462467914,0.080736781,0.236373009,-0.110564125,0.000423324
YBL091C-A,SCS22,Exon/CD,chrii,46506,46888,-,483,Msn2-chr02-46697,n,0.589964189,0.49831023,0.53324529,0.297258943,0.162299838,0.302772022
YBL087C,RPL23A,Exon/CD,chrii,59786,60328,-,682,Msn2-chr02-60057,n,0.674351778,0.577276968,0.182319186,-0.334235515,0.081200573,-0.004908109
YBL087C,RPL23A,Upstream,chrii,60586,61064,-,-86,Msn2-chr02-60825,n,-0.179129272,-0.231394279,0.069971523,0.709013699,-0.079818032,-0.3126829
YBL086C,,Exon/CD,chrii,62314,62792,-,49,Msn2-chr02-62553,n,-0.040891817,0.458888078,0.620460724,0.539919987,0.307642623,0.700879727
YBL078C,ATG8,Exon/CD,chrii,80490,80904,-,34,Msn2-chr02-80697,n,-0.582656121,-0.215835761,0.453849633,0.347481734,-0.320426738,-0.151053807
YBL076C,ILS1,Exon/CD,chrii,83946,84296,-,140,Msn2-chr02-84121,n,0.353367612,0.502626071,-0.06956875,-0.035649933,0.458286583,-0.190678836
YBL072C,RPS8A,Exon/CD,chrii,88362,89256,-,316,Msn2-chr02-88809,n,0.614516983,0.532638345,0.217625248,0.246705156,0.114905813,0.289572147
YBL071C-B,,Upstream,chrii,89450,90024,-,-181,Msn2-chr02-89737,n,0.054661366,0.963370159,0.446410935,0.475134721,0.008221268,-0.119650736
YBL064C,PRX1,Exon/CD,chrii,100906,101352,-,27,Msn2-chr02-101087,y,0.175765238,1.225298031,1.610977315,1.548428754,1.26768545,1.002728986
YBL058W,SHP1,Exon/CD,chrii,111274,111656,+,28,Msn2-chr02-111465,n,0.08059128,0.041674984,0.624171273,0.579055724,0.21643588,0.991736248
YBL058W,SHP1,Exon/CD,chrii,111434,111784,+,172,Msn2-chr02-111609,n,0.333745609,0.73847019,0.743221125,0.751522226,0.502014924,1.058735641
YBL054W,TOD6,Upstream,chrii,116874,117576,+,-364,Msn2-chr02-117225,n,0.054273587,0.783347989,0.809747977,0.500404597,-0.059276368,0.097181222
YBL051C,PIN4,Exon/CD,chrii,122634,123112,-,1886,Msn2-chr02-122873,n,0.061520599,0.290977414,0.098016455,0.166830588,0.133544822,0.587066575
YBL047C,EDE1,Exon/CD,chrii,127882,128296,-,3951,Msn2-chr02-128089,n,0.490908342,0.63874951,0.250852008,-0.087914761,0.678221229,0.732998047
YBL047C,EDE1,Exon/CD,chrii,129930,130408,-,1871,Msn2-chr02-130169,n,0.384372598,0.936808364,0.220168439,0.433620301,0.491513381,0.775277285
YBL047C,EDE1,Exon/CD,chrii,130090,130728,-,1631,Msn2-chr02-130409,n,0.306437914,1.449339113,0.378519839,0.179643251,0.530362699,0.654041955
YBL044W,,Exon/CD,chrii,135818,136424,+,123,Msn2-chr02-136100,y,-0.171964919,1.368517099,1.567366039,1.148228146,0.447444666,-0.180218852
YBL043W,ECM13,Exon/CD,chrii,136906,137384,+,457,Msn2-chr02-137145,n,0.181847837,1.350109234,0.201809033,-0.157728608,-0.003156722,0.176025172
YBL042C,FUI1,Upstream,chrii,140266,141128,-,-437,Msn2-chr02-140745,y,-0.006727162,1.490486147,1.697381629,1.18567865,0.282077817,-0.024826799
YBL036C,,Exon/CD,chrii,150282,150664,-,747,Msn2-chr02-150473,n,0.466719443,0.065457038,0.194091407,0.592207553,0.322950377,0.57590741
YBL033C,RIB1,Upstream,chrii,159626,160168,-,-204,Msn2-chr02-159813,y,-0.207345957,1.316955808,1.369135361,0.90913972,0.759301467,0.498796858
YBL029C-A,,Upstream,chrii,164938,165576,-,-485,Msn2-chr02-165201,y,-0.16332849,2.708685972,2.935714021,1.909594089,0.692333066,0.256065557
YBL028C,,Upstream,chrii,167850,168328,-,-251,Msn2-chr02-168121,y,0.0443,0.870055625,0.691627423,0.55785982,0.178328044,-0.418251083
YBL027W,RPL19B,Exon/CD,chrii,168874,169480,+,754,Msn2-chr02-169177,n,0.677785441,0.514434267,-0.11205192,-0.101237527,0.085693427,0.157214593
YBL022C,PIM1,Exon/CD,chrii,180938,181512,-,50,Msn2-chr02-181225,n,0.122357267,0.679227684,0.383182947,0.311518093,0.358551056,1.261850784
