Gene,Promoter,Chr,Start,Stop,Flo8_Exp,Flo8_Obs,Flo8_pVal,Mss11_Exp,Mss11_Obs,Mss11_pVal,Mfg1_Exp,Mfg1_Obs,Mfg1_pVal,Sok2_Exp,Sok2_Obs,Sok2_pVal,Ste12_Exp,Ste12_Obs,Ste12_pVal,Tec1_Exp,Tec1_Obs,Tec1_pVal,Mit1_Exp,Mit1_Obs,Mit1_pVal,Nrg1_Exp,Nrg1_Obs,Nrg1_pVal,Sfl1_Exp,Sfl1_Obs,Sfl1_pVal,Phd1_Exp,Phd1_Obs,Phd1_pVal,Mga1_Exp,Mga1_Obs,Mga1_pVal,Rim101_Exp,Rim101_Obs,Rim101_pVal,Rlm1_Exp,Rlm1_Obs,Rlm1_pVal,Rtg1_Exp,Rtg1_Obs,Rtg1_pVal,Skn7_Exp,Skn7_Obs,Skn7_pVal,Smp1_Exp,Smp1_Obs,Smp1_pVal,Fkh1_Exp,Fkh1_Obs,Fkh1_pVal,Dig1_Exp,Dig1_Obs,Dig1_pVal,Gln3_Exp,Gln3_Obs,Gln3_pVal,Hms1_Exp,Hms1_Obs,Hms1_pVal,Msn1_Exp,Msn1_Obs,Msn1_pVal,Hot1_Exp,Hot1_Obs,Hot1_pVal,Hms2_Exp,Hms2_Obs,Hms2_pVal,Yap6_Exp,Yap6_Obs,Yap6_pVal,Msn2_Exp,Msn2_Obs,Msn2_pVal,Msn4_Exp,Msn4_Obs,Msn4_pVal,Gcn4_Exp,Gcn4_Obs,Gcn4_pVal,Rgm1_Exp,Rgm1_Obs,Rgm1_pVal
YAL046C,YAL046C,1,41175,40819,5.3355,0,1.00E+00,4.1052,0,1.00E+00,10.5511,0,1.00E+00,4.5072,0,1.00E+00,5.4377,1,9.96E-01,5.4574,3,9.09E-01,4.3439,1,9.87E-01,3.9223,1,9.80E-01,3.3909,0,1.00E+00,10.7603,4,9.94E-01,7.3915,2,9.95E-01,2.6836,0,1.00E+00,2.6261,1,9.28E-01,1.6651,0,1.00E+00,2.5417,0,1.00E+00,1.7047,0,1.00E+00,5.8115,1,9.97E-01,7.0453,1,9.99E-01,3.5065,0,1.00E+00,2.4995,2,7.13E-01,2.67,0,1.00E+00,2.8168,1,9.40E-01,4.9837,1,9.93E-01,3.7663,1,9.77E-01,3.223,3,6.25E-01,4.3658,0,1.00E+00,1.9045,0,1.00E+00,3.0274,0,1.00E+00
YAL045C,YAL045C,1,41586,41278,6.4193,0,1.00E+00,4.8815,0,1.00E+00,12.9389,0,1.00E+00,5.384,3,9.04E-01,6.5472,1,9.99E-01,6.5718,3,9.59E-01,5.1799,1,9.94E-01,4.6529,1,9.90E-01,3.9886,1,9.81E-01,13.2003,5,9.97E-01,8.9893,3,9.94E-01,3.1045,3,6.00E-01,3.0327,0,1.00E+00,1.8314,0,1.00E+00,2.9271,0,1.00E+00,1.8809,0,1.00E+00,7.0144,1,9.99E-01,8.5566,1,1.00E+00,4.1331,1,9.84E-01,2.8744,1,9.44E-01,3.0875,2,8.14E-01,3.271,0,1.00E+00,5.9796,1,9.97E-01,4.4579,5,4.60E-01,3.7787,3,7.28E-01,5.2072,0,1.00E+00,2.1307,0,1.00E+00,3.5342,0,1.00E+00
YAL044W-A,YAL044W-A,1,41308,41640,1,0,1.00E+00,1,0,1.00E+00,1,0,1.00E+00,1,0,1.00E+00,1,0,1.00E+00,1,0,1.00E+00,1,1,6.32E-01,1,1,6.32E-01,1,0,1.00E+00,1,4,1.90E-02,1,2,2.64E-01,1,0,1.00E+00,1,0,1.00E+00,1,0,1.00E+00,1,0,1.00E+00,1,1,6.32E-01,1,4,1.90E-02,1,1,6.32E-01,1,0,1.00E+00,1,1,6.32E-01,1,0,1.00E+00,1,0,1.00E+00,1,0,1.00E+00,1,0,1.00E+00,1,0,1.00E+00,1,1,6.32E-01,1,1,6.32E-01,1,0,1.00E+00
YAL044C,GCV3,1,42252,41740,6.4193,0,1.00E+00,4.8815,0,1.00E+00,12.9389,0,1.00E+00,5.384,3,9.04E-01,6.5472,1,9.99E-01,6.5718,3,9.59E-01,5.1799,1,9.94E-01,4.6529,0,1.00E+00,3.9886,1,9.81E-01,13.2003,6,9.91E-01,8.9893,3,9.94E-01,3.1045,3,6.00E-01,3.0327,0,1.00E+00,1.8314,0,1.00E+00,2.9271,0,1.00E+00,1.8809,0,1.00E+00,7.0144,1,9.99E-01,8.5566,0,1.00E+00,4.1331,1,9.84E-01,2.8744,1,9.44E-01,3.0875,2,8.14E-01,3.271,0,1.00E+00,5.9796,1,9.97E-01,4.4579,4,6.51E-01,3.7787,2,8.91E-01,5.2072,0,1.00E+00,2.1307,0,1.00E+00,3.5342,0,1.00E+00
YAL043C,PTA1,1,44842,42485,3.7097,1,9.76E-01,2.9408,1,9.47E-01,6.9694,0,1.00E+00,3.192,1,9.59E-01,3.7736,2,8.90E-01,3.7859,1,9.77E-01,3.09,0,1.00E+00,2.8264,0,1.00E+00,2.4943,0,1.00E+00,7.1002,2,9.93E-01,4.9947,4,7.34E-01,2.0522,0,1.00E+00,2.0163,0,1.00E+00,1.4157,0,1.00E+00,1.9636,0,1.00E+00,1.4404,0,1.00E+00,4.0072,1,9.82E-01,4.7783,0,1.00E+00,2.5666,1,9.23E-01,1.9372,1,8.56E-01,2.0437,1,8.70E-01,2.1355,1,8.82E-01,3.4898,3,6.77E-01,2.729,3,5.13E-01,2.3894,1,9.08E-01,3.1036,1,9.55E-01,1.5653,1,7.91E-01,2.2671,1,8.96E-01
YAL042C-A,YAL042C-A,1,45398,45021,2.6258,0,1.00E+00,2.1645,1,8.85E-01,4.5817,0,1.00E+00,2.3152,1,9.01E-01,2.6641,0,1.00E+00,2.6715,1,9.31E-01,2.254,0,1.00E+00,2.0959,0,1.00E+00,1.8966,0,1.00E+00,4.6601,3,8.44E-01,3.3968,2,8.53E-01,1.6313,0,1.00E+00,1.6098,0,1.00E+00,1.2494,1,7.13E-01,1.5781,0,1.00E+00,1.2643,0,1.00E+00,2.8043,0,1.00E+00,3.267,1,9.62E-01,1.9399,1,8.56E-01,1.5623,0,1.00E+00,1.6262,2,4.84E-01,1.6813,1,8.14E-01,2.4939,0,1.00E+00,2.0374,1,8.70E-01,1.8336,0,1.00E+00,2.2622,3,3.94E-01,1.3392,0,1.00E+00,1.7603,0,1.00E+00
YAL042W,ERV46,1,45106,46353,2.6258,1,9.28E-01,2.1645,0,1.00E+00,4.5817,0,1.00E+00,2.3152,0,1.00E+00,2.6641,2,7.45E-01,2.6715,0,1.00E+00,2.254,0,1.00E+00,2.0959,0,1.00E+00,1.8966,0,1.00E+00,4.6601,1,9.91E-01,3.3968,1,9.67E-01,1.6313,0,1.00E+00,1.6098,0,1.00E+00,1.2494,0,1.00E+00,1.5781,0,1.00E+00,1.2643,0,1.00E+00,2.8043,1,9.39E-01,3.267,0,1.00E+00,1.9399,1,8.56E-01,1.5623,1,7.90E-01,1.6262,1,8.03E-01,1.6813,0,1.00E+00,2.4939,3,4.55E-01,2.0374,1,8.70E-01,1.8336,1,8.40E-01,2.2622,1,8.96E-01,1.3392,1,7.38E-01,1.7603,1,8.28E-01
YAL041W,CDC24,1,46628,49192,2.0839,0,1.00E+00,1.7763,1,8.31E-01,3.3878,0,1.00E+00,1.8768,1,8.47E-01,2.1094,0,1.00E+00,2.1144,1,8.79E-01,1.836,0,1.00E+00,1.7306,0,1.00E+00,1.5977,1,7.98E-01,3.4401,3,6.68E-01,2.5979,2,7.32E-01,1.4209,0,1.00E+00,1.4065,0,1.00E+00,1.1663,1,6.88E-01,1.3854,0,1.00E+00,1.1762,0,1.00E+00,2.2029,0,1.00E+00,2.5113,1,9.19E-01,1.6266,1,8.03E-01,1.3749,0,1.00E+00,1.4175,2,4.14E-01,1.4542,1,7.66E-01,1.9959,0,1.00E+00,1.6916,1,8.16E-01,1.5557,0,1.00E+00,1.8414,3,2.81E-01,1.2261,0,1.00E+00,1.5068,0,1.00E+00
YAL040C,CLN3,1,51309,49567,18.3419,12,9.53E-01,13.4208,6,9.92E-01,39.2043,65,1.01E-04,15.0287,4,1.00E+00,18.7509,9,9.95E-01,18.8297,6,1.00E+00,14.3758,4,1.00E+00,12.6892,5,9.95E-01,10.5635,6,9.51E-01,40.0411,25,9.96E-01,26.5659,16,9.89E-01,7.7343,12,9.37E-02,7.5045,2,9.95E-01,3.6603,2,8.80E-01,7.1668,2,9.94E-01,3.8189,4,5.30E-01,20.2462,9,9.98E-01,25.1813,12,9.99E-01,11.026,4,9.95E-01,6.9979,4,9.18E-01,7.6799,5,8.81E-01,8.2671,5,9.15E-01,16.9348,8,9.94E-01,12.0653,7,9.56E-01,9.8919,7,8.63E-01,14.463,19,1.45E-01,4.6181,1,9.90E-01,9.1095,5,9.49E-01
YAL039C,CYC3,1,53313,52504,19.4258,12,9.72E-01,14.1971,6,9.95E-01,41.5921,28,9.89E-01,15.9055,3,1.00E+00,19.8603,1,1.00E+00,19.944,0,1.00E+00,15.2118,3,1.00E+00,13.4197,8,9.57E-01,11.1612,4,9.96E-01,42.4811,43,4.89E-01,28.1637,17,9.91E-01,8.1552,4,9.62E-01,7.911,6,8.00E-01,3.8266,2,8.95E-01,7.5522,1,9.99E-01,3.995,5,3.70E-01,21.449,10,9.98E-01,26.6926,5,1.00E+00,11.6526,4,9.97E-01,7.3728,9,3.21E-01,8.0974,3,9.87E-01,8.7213,10,3.76E-01,17.9307,9,9.93E-01,12.7569,7,9.70E-01,10.4476,4,9.93E-01,15.3045,11,8.96E-01,4.8442,1,9.92E-01,9.6164,9,6.22E-01
YAL038W,CDC19,1,55563,57065,9.129,3,9.94E-01,6.8223,6,6.76E-01,18.9083,2,1.00E+00,7.5759,1,9.99E-01,9.3207,3,9.95E-01,9.3577,1,1.00E+00,7.2699,0,1.00E+00,6.4793,4,8.87E-01,5.4829,1,9.96E-01,19.3005,10,9.93E-01,12.984,9,9.00E-01,4.1567,1,9.84E-01,4.049,2,9.12E-01,2.247,0,1.00E+00,3.8907,1,9.80E-01,2.3213,1,9.02E-01,10.0216,25,4.86E-05,12.335,0,1.00E+00,5.6997,6,5.05E-01,3.8115,1,9.78E-01,4.1312,2,9.18E-01,4.4065,2,9.34E-01,8.4694,8,6.10E-01,6.1869,3,9.46E-01,5.1681,3,8.89E-01,7.3108,4,9.33E-01,2.696,3,5.05E-01,4.8013,9,5.59E-02
YAL037C-B,YAL037C-B,1,57077,56103,2.6258,0,1.00E+00,2.1645,1,8.85E-01,4.5817,1,9.90E-01,2.3152,0,1.00E+00,2.6641,0,1.00E+00,2.6715,0,1.00E+00,2.254,0,1.00E+00,2.0959,0,1.00E+00,1.8966,0,1.00E+00,4.6601,5,4.98E-01,3.3968,0,1.00E+00,1.6313,0,1.00E+00,1.6098,0,1.00E+00,1.2494,0,1.00E+00,1.5781,0,1.00E+00,1.2643,1,7.18E-01,2.8043,1,9.39E-01,3.267,1,9.62E-01,1.9399,0,1.00E+00,1.5623,0,1.00E+00,1.6262,0,1.00E+00,1.6813,0,1.00E+00,2.4939,1,9.17E-01,2.0374,2,6.04E-01,1.8336,0,1.00E+00,2.2622,2,6.60E-01,1.3392,0,1.00E+00,1.7603,1,8.28E-01
YAL037C-A,YAL037C-A,1,57295,57203,2.0839,0,1.00E+00,1.7763,1,8.31E-01,3.3878,0,1.00E+00,1.8768,1,8.47E-01,2.1094,0,1.00E+00,2.1144,0,1.00E+00,1.836,0,1.00E+00,1.7306,0,1.00E+00,1.5977,0,1.00E+00,3.4401,5,2.63E-01,2.5979,0,1.00E+00,1.4209,0,1.00E+00,1.4065,0,1.00E+00,1.1663,0,1.00E+00,1.3854,0,1.00E+00,1.1762,0,1.00E+00,2.2029,2,6.46E-01,2.5113,1,9.19E-01,1.6266,0,1.00E+00,1.3749,0,1.00E+00,1.4175,0,1.00E+00,1.4542,0,1.00E+00,1.9959,1,8.64E-01,1.6916,1,8.16E-01,1.5557,0,1.00E+00,1.8414,1,8.41E-01,1.2261,0,1.00E+00,1.5068,2,4.44E-01
