ORF,name,chr,start,end,exp_0min,exp_7min,exp_15min,exp_22min,exp_30min,exp_45min,exp_60min
YDR475C,JIP4,4,1410085,1410443,0,0.361029,1.155206,0.931432,0.995553,0.328356,0.379318
YDR493W,,4,1435864,1436206,0,-0.432329,0.136795,0.275394,0.307782,-0.150303,-0.071671
YDR499W,LCD1,4,1446984,1447819,0,-0.68768,-0.472915,-0.481343,-0.389598,-0.105596,0.224024
YDR517W,GRH1,4,1476466,1477228,0,0.1574,0.215355,-0.072983,-0.238154,-0.453758,-0.079478
YDR523C,SPS1,4,1487029,1487532,0,1.301269,0.789757,0.664191,1.376953,1.320489,0.99546
YER187W,,5,565225,566224,0,-0.899738,-0.828147,-0.539285,-0.863174,-1.197588,-1.089437
YFL002C,SPB4,6,146930,147126,0,-1.507715,-1.996572,-1.796371,-1.275429,-0.739794,-0.472967
YFL016C,MDJ1,6,106231,107230,0,1.144993,1.53357,1.354172,1.822043,1.083791,0.941604
YFL021W,GAT1,6,95008,95963,0,0.71463,1.07531,0.534067,0.498246,0.116322,0.402113
YFL038C,YPT1,6,55986,56335,0,0.031939,0.405468,0.406367,0.678562,0.225621,0.48507
YFL044C,OTU1,6,45561,45720,0,-0.406658,0.052721,0.417985,0.356976,-0.078194,-0.267088
YFL062W,COS4,6,5426,6425,0,-0.114029,0.407147,0.527592,0.781968,0.454848,0.592246
YFL068W,,6,1,52,0,0.223142,0.333705,0.69415,0.522503,0.243046,0.707229
YGL245W,GUS1,7,38780,39022,0,0.204423,0.145965,-0.055238,0.076197,-0.012826,0.339007
YGL251C,HFM1,7,31637,31910,0,-0.307596,-0.186206,-0.093878,-0.149589,-0.154384,0.150591
YGR006W,PRP18,7,505863,506073,0,-0.02886,0.311328,0.290559,0.365402,-0.025414,0.14211
YGR012W,,7,512736,513162,0,-0.191683,0.027226,-0.188997,-0.244373,-0.323189,0.11638
YGR028W,MSP1,7,541329,542206,0,-0.076076,0.427824,0.573932,0.552419,0.023582,0.194756
YGR034W,RPL26B,7,554971,555932,0,-0.408342,-1.615595,-1.838833,-1.154154,-0.277055,0.089836
YGR056W,RSC1,7,601145,601664,0,-0.235822,-0.326178,0.154624,0.204494,0.037352,0.125083
YHR005C-A,MRS11,8,115896,116895,0,-1.52635,-1.052419,-0.655409,-0.325835,-0.643788,-0.40945
YHR011W,DIA4,8,127485,127772,0,-0.431583,0.068125,0.408306,0.476771,-0.049932,0.097831
YHR028C,DAP2,8,167427,167669,0,0.05222,0.692343,1.011218,1.108302,0.311172,0.466062
YHR034C,PIH1,8,177992,178211,0,1.672858,2.138072,1.76546,1.526641,0.894259,0.946721
YHR050W,SMF2,8,207185,207646,0,-0.325196,-0.251628,-0.580347,-0.696343,-0.395657,0.309787
YHR056C,RSC30,8,217836,218227,0,-0.043377,0.363934,0.594772,0.33059,0.140619,0.440488
YHR073W,OSH3,8,241841,242582,0,-0.213737,-0.280917,0.514429,0.328937,-0.020766,0.200648
YHR079C,IRE1,8,261593,262402,0,-0.387361,-0.293064,0.375207,0.317481,-0.153627,0.030552
YIL157C,,9,47543,47690,0,-0.495293,0.331137,0.67408,0.584964,-0.214092,0.086425
YIR004W,DJP1,9,362921,363217,0,0.313348,-0.908618,-1.171585,-2.84693,-2.528304,-1.324585
YIR010W,DSN1,9,374857,375427,0,-0.03653,-0.258015,-0.449472,-0.836359,-1.101844,-0.285552
YIR027C,DAL1,9,407640,408465,0,0.584714,0.503221,0.670583,-0.541833,-1.404082,-0.845535
YIR033W,MGA2,9,415614,416120,0,0.823097,0.628266,0.658896,0.083115,0.020058,0.275493
YJL013C,MAD3,10,410956,411149,0,0.203335,-0.600675,-0.677214,-2.489811,-1.379188,-1.119034
YJR095W,SFC1,10,608775,609689,0,1.918096,1.229299,1.21169,1.696003,-1.108513,1.068602
YJR101W,RSM26,10,617248,618147,0,-0.436328,-0.280376,0.058029,0.36127,-0.063327,0.013194
YJR119C,JHD2,10,646406,647041,0,0.486275,0.5299,0.638325,1.040034,0.743468,1.136579
YJR125C,ENT3,10,655879,656169,0,0.159584,0.953352,1.115756,1.215049,0.415129,0.341445
YJR142W,,10,696864,697055,0,-0.408768,0.102166,0.489772,0.686344,0.191014,0.105321
YJR148W,BAT2,10,705187,705658,0,0.022761,0.512875,1.093299,1.436265,0.985795,0.745322
YKL004W,AUR1,11,434520,435222,0,-1.285174,-1.681343,-1.459224,-1.250163,-0.742181,0.029631
YKL009W,MRT4,11,425518,425884,0,-3.068572,-4.272834,-3.541338,-2.491484,-1.441331,-0.860835
YKR086W,PRP16,11,599323,599498,0,-0.581577,-0.467775,-0.313869,-0.139932,-0.052458,0.271056
YKR092C,SRP40,11,613528,614527,0,-1.43615,-2.881947,-2.918392,-2.003906,-1.138366,-0.631524
YLL004W,ORC3,12,140545,141071,0,-1.05223,-1.094724,-0.933069,-0.781141,-0.491721,0.03414
YLL010C,PSR1,12,130613,131204,0,-0.043957,0.193103,0.049471,0.145506,-0.140529,0.138474
YLL027W,ISA1,12,86563,87401,0,0.372778,0.572214,0.502206,0.764728,0.4366,0.521743
YLL033W,,12,73145,73407,0,-0.06143,-0.062106,0.139289,-0.136568,-0.023172,0.125101
YLL051C,FRE6,12,39471,39803,0,-0.657396,-0.712956,-0.321994,-0.706783,-0.697616,-0.283478
YLL057C,JLP1,12,26995,27409,0,-0.2571,0.72222,0.238012,0.545575,-0.104737,0.0257
YLR288C,MEC3,12,714907,715091,0,-0.268839,-0.289335,-0.1448,-0.106012,-0.156923,0.389141
YLR312C,,12,758836,759385,0,2.167901,3.208789,2.417171,2.496173,2.449387,2.534514
YLR335W,NUP2,12,796430,797429,0,-1.18231,-1.144575,-0.841658,-0.327646,-0.10933,0.102296
YLR341W,SPO77,12,806825,807384,0,-1.305734,-1.257367,-0.850759,-1.144176,-4.801388,-0.078982
YLR359W,ADE13,12,843999,844280,0,-1.289997,-0.893145,-0.691915,0.419228,0.598672,-0.316531
YMR054W,STV1,13,382897,383301,0,-0.485106,0.009357,0.064888,-0.120134,-0.343077,-0.230349
YMR060C,SAM37,13,392515,392754,0,0.211143,0.248396,0.328036,0.373526,-0.208028,0.077224
YMR077C,VPS20,13,422149,422502,0,-0.142823,0.069736,-0.162886,-0.088592,-0.204559,-0.079784
YMR083W,ADH3,13,433787,434786,0,-0.996878,-1.122511,-1.011635,-0.480955,-0.145919,0.141842
YMR100W,MUB1,13,465299,466298,0,0.269541,0.438598,0.688716,0.661391,0.153752,0.082964
YMR106C,YKU80,13,480190,481189,0,0.030015,0.226163,0.078333,-0.176558,-0.238377,0.126834
YMR123W,PKR1,13,512592,513591,0,-0.820238,-0.95217,-0.807988,-0.831652,-0.939412,-0.415012
YMR129W,POM152,13,527498,527802,0,-1.021763,-1.011799,-0.518744,-0.529887,-0.317105,0.137879
YNL094W,APP1,14,446840,447610,0,0.151521,0.488088,0.733645,0.447086,-0.299738,0.088856
YNL100W,,14,437140,437612,0,0.518035,1.258389,1.157636,0.933962,0.384266,0.374062
YNL118C,DCP2,14,405565,406358,0,0.204941,0.356604,0.32749,-0.302285,-0.714434,-0.203296
YNL124W,NAF1,14,392167,392891,0,-1.203429,-1.418305,-1.265358,-1.49062,-1.604784,-0.708562
YNL142W,MEP2,14,356453,357452,0,-0.269453,-0.304581,-0.597664,-0.793521,-0.955202,-0.317992
YNL148C,ALF1,14,350672,350940,0,0.107898,-0.510324,-0.627817,-1.954968,-2.266827,-1.203419
YNL166C,BNI5,14,323566,323832,0,-0.628867,-0.773116,-0.823771,-0.991855,-0.459469,0.061709
YNL172W,APC1,14,310057,310635,0,0.103634,0.279082,0.609021,0.123381,-0.100054,0.383276
YOL057W,,15,220471,220764,0,-0.074962,0.092495,0.313135,0.437588,-0.064472,0.021415
YOL063C,CRT10,15,210265,210519,0,0.097132,0.547984,0.505434,0.48952,-0.002031,0.203792
YOL081W,IRA2,15,170069,171068,0,0.074781,0.92763,1.215935,1.497869,0.574766,0.460742
YOL087C,,15,158637,159172,0,0.48246,1.222424,1.228275,1.202176,0.508669,0.508523
YOL103W-B,,15,117453,117998,0,-0.004214,-0.14683,0.011924,0.428264,0.396837,0.525382
YOL109W,ZEO1,15,109888,110295,0,-1.890925,-3.039035,-3.576882,-3.058137,-1.612587,-0.615489
YOL127W,RPL25,15,79478,80346,0,-0.392152,-1.290087,-1.49797,-1.028476,-0.434617,0.116223
YOL133W,HRT1,15,70043,70323,0,0.676945,0.829355,0.953731,0.767754,0.201065,0.462085
YOR268C,,15,825930,826382,0,0.920703,0.925331,0.436814,0.664239,-0.194802,0.432782
YOR274W,MOD5,15,836671,837670,0,-0.932841,-0.921738,-0.955609,-0.887817,-1.017051,-0.641726
YOR292C,,15,866580,867095,0,0.264604,0.52155,0.317742,-0.080832,-0.517013,-0.579213
YOR298C-A,MBF1,15,877683,878431,0,1.639605,1.920873,1.770726,1.827204,1.132973,0.869611
YOR320C,GNT1,15,915090,916025,0,-1.281942,-1.01322,-0.483685,-0.561397,-0.337752,0.16693
YOR338W,,15,956618,956892,0,-1.628372,-1.569738,-0.410974,-0.23017,-0.234359,0.167762
YPL257W,,16,62279,63278,0,-0.358008,0.223705,0.080673,-0.360855,0.301783,-0.736367
YPL273W,SAM4,16,24701,25086,0,-0.817449,-1.493603,-1.895921,-1.504585,-0.869423,-0.065222
YPL279C,,16,14356,15053,0,-1.057107,-1.192636,-0.647791,-0.959914,-0.753566,-0.458151
YPR013C,,16,585583,586582,0,-1.334319,-0.1097,-0.424739,-0.306471,-0.47864,-0.297555
YPR019W,CDC54,16,596293,596746,0,-0.975676,-0.427213,-0.17255,-0.192661,-0.419988,-0.032094
YPR037C,ERV2,16,647036,647302,0,-0.640758,0.06862,0.148723,0.206997,0.000525,0.283637
YPR043W,RPL43A,16,653659,654162,0,-0.144134,-0.882381,-1.205798,-0.771234,-0.067354,0.444114
YAL010C,MDM10,1,135668,135856,0,-0.279676,0.086413,0.230776,0.157172,-0.126382,-0.032384
YAL016W,TPD3,1,124493,124879,0,-0.011532,0.547003,0.793065,0.856915,0.182803,0.214181
YAL034C,FUN19,1,81953,82707,0,1.906459,2.505581,2.056718,1.810593,1.219937,1.326975
YAL038W,CDC19,1,70787,71786,0,0.209451,0.119672,0.080743,0.500928,0.572919,0.866615
YAL063C,FLO9,1,27970,28969,0,-0.520273,-0.891655,0.248252,0.224964,0.254193,0.572087
YBR139W,,2,515330,515657,0,0.176829,-0.707183,-0.992936,-1.573306,-1.310714,-1.737396
YBR145W,ADH5,2,532756,533755,0,-1.630282,-0.992371,-1.550783,-0.985063,-0.530651,-0.093107
YBR162W-A,YSY6,2,564565,565225,0,-1.002765,-1.382581,-1.548149,-1.192994,-0.760739,-0.218365
YBR168W,PEX32,2,571885,572365,0,0.27329,0.453316,0.449125,0.477195,0.1336,0.395916
YBR186W,PCH2,2,599954,600547,0,-0.768785,-0.352187,-0.065617,-0.031876,0.041424,0.436518
YBR192W,RIM2,2,607135,607646,0,-0.390617,-0.429664,0.16939,0.42983,-0.135887,-0.17011
YBR210W,ERV15,2,644545,645544,0,-0.332171,-0.30168,-0.181438,-0.23233,-0.45389,-0.140756
YBR216C,YBP1,2,657596,657827,0,-0.049794,0.769269,0.746363,0.544643,0.000392,0.313948
YDL045W-A,MRP10,4,371758,372244,0,0.189085,0.321341,0.635765,0.68196,-0.083664,0.288373
YDL051W,LHP1,4,363583,363951,0,-0.745252,-1.609712,-2.507444,-2.10157,-1.131146,-0.499011
YDL069C,CBS1,4,333811,334217,0,-0.36583,-0.178581,-0.341217,-0.419259,-0.550683,-0.193223
YDL075W,RPL31A,4,321552,322225,0,-0.289715,-1.194271,-1.704658,-1.062758,-0.324412,-0.019704
YDL093W,PMT5,4,289512,289908,0,-0.489473,-0.718159,-0.8466,-0.836933,-0.47325,0.189563
YDL099W,BUG1,4,283176,283418,0,-0.273932,0.016971,0.18259,0.34196,-0.073322,0.040636
YDL117W,CYK3,4,247612,248580,0,-0.777424,-0.88422,-0.230332,0.016923,-0.272368,-0.165978
YDL123W,SNA4,4,241197,241417,0,0.708721,0.590734,0.481329,0.297203,-0.243309,0.065264
YDR172W,SUP35,4,807743,808318,0,-0.909679,-1.029456,-0.810405,-0.460302,-0.154144,0.165631
YDR178W,SDH4,4,817520,817944,0,0.50985,1.510021,1.359572,1.289465,0.266917,0.610526
YDR195W,REF2,4,848218,848593,0,0.224183,0.344106,0.541458,0.609288,0.193305,0.329138
YDR201W,SPC19,4,856088,856311,0,-0.754145,-0.92828,-0.316933,-0.197646,-0.884468,-0.613298
YDR221W,GTB1,4,906846,907323,0,-0.347907,-0.09243,-0.077317,0.248691,-0.159943,0.091796
YDR239C,,4,943415,943668,0,-0.825921,-1.127943,-0.356585,0.03135,-0.112076,0.253654
YDR245W,MNN10,4,952395,952793,0,-0.796784,-0.994242,-0.900046,-0.824782,-0.392346,-0.022039
YDR540C,,4,1517658,1518657,0,-0.188427,-0.640211,-0.773983,-1.055506,-1.654666,-1.162523
YEL001C,,5,150978,151977,0,-0.466181,-0.582435,-0.372707,-0.214748,-0.260281,0.231442
YEL018W,EAF5,5,121301,121470,0,-0.320366,-0.395789,-0.214331,-0.412811,-0.523261,-0.228831
YEL023C,,5,110553,111421,0,0.709211,0.006865,0.565562,0.745386,0.439783,0.679051
YEL041W,YEF1,5,75327,75943,0,0.185354,0.74458,1.584763,1.87987,1.822972,1.648225
YEL047C,,5,66798,67629,0,0.213624,0.436918,0.544887,0.64711,0.457246,0.6052
YEL064C,AVT2,5,31240,31694,0,-0.768892,-1.84851,0.045029,0.645954,0.370152,1.327707
YEL070W,DSF1,5,18589,19588,0,-0.391924,-1.470136,0.561547,0.482817,0.487854,0.815442
YFR018C,,6,184211,184490,0,-0.959175,-0.80905,-0.377655,-0.25617,-0.125387,0.095348
YFR024C,,6,203422,204421,0,0.095957,0.471286,1.153115,1.31864,0.408317,0.246285
YFR039C,,6,233532,234229,0,-0.42391,-0.680026,-0.507613,-0.772817,-0.38847,0.014987
YFR045W,,6,241424,242128,0,0.123174,-0.595945,0.611419,0.992168,0.288954,0.314849
YGL006W,PMC1,7,485538,485924,0,0.651422,-0.507807,0.574502,-0.483586,-1.193696,-0.529615
YGL012W,ERG4,7,472303,472859,0,-0.130567,-0.359722,-0.040701,-0.25123,-0.411089,0.332718
YGL030W,RPL30,7,438096,439095,0,-0.10961,-1.351726,-1.745405,-1.226598,-0.309783,0.233684
YGL036W,,7,427953,428605,0,0.10637,-1.012105,-0.776202,-1.860244,-1.421696,-1.002306
YGR074W,SMD1,7,635471,635715,0,0.27124,-0.099925,-0.111328,-0.035995,-0.31294,0.108445
YGR080W,TWF1,7,641836,642013,0,-0.025389,0.731451,1.149845,1.157291,0.413574,0.315781
YGR098C,ESP1,7,687463,687903,0,-0.890616,-0.805357,-0.058157,0.201157,0.48219,1.034608
YGR104C,SRB5,7,698373,698603,0,-0.136396,-0.037109,0.305552,0.344093,-0.123132,0.058022
YGR120C,COG2,7,730827,731454,0,-0.344207,-0.318924,0.034889,0.228803,-0.033472,0.048785
YGR125W,,7,741667,742329,0,-0.117365,0.112921,0.93853,0.698999,0.135604,0.086598
YGR143W,SKN1,7,774198,775197,0,0.755959,1.013431,1.103257,1.33526,0.488254,0.622976
YGR149W,,7,788036,789035,0,0.52922,1.222524,1.255873,1.027583,0.329403,0.325243
YHR096C,HXT5,8,296450,297387,0,4.76093,5.522748,6.068879,6.191966,4.257787,4.155558
YHR102W,KIC1,8,315970,316573,0,-0.620069,-0.242932,0.113664,0.33963,-0.034805,0.332324
YHR120W,MSH1,8,349287,349575,0,-1.151748,-0.999848,-0.305521,-0.088182,-0.108459,0.181876
YHR126C,,8,360184,360915,0,0.403974,-1.230421,-0.255503,-2.209122,-1.855077,-1.384102
YHR142W,CHS7,8,382753,383539,0,-0.580778,-0.806834,-0.467069,-0.07727,0.014574,0.232798
YHR147C,MRPL6,8,393286,393536,0,-1.221522,-0.161191,-0.038869,0.503503,-0.356317,-0.0548
YHR165C,PRP8,8,436950,437171,0,-0.421264,-0.012198,0.15324,0.710482,0.364403,0.556257
YHR171W,ATG7,8,445384,445711,0,0.753285,1.455661,2.00596,1.7767,0.552113,0.839094
YJL031C,BET4,10,387355,387573,0,-0.299835,0.205377,0.576795,0.953141,0.163236,0.049774
YJL037W,,10,375690,376577,0,-0.906265,-0.064576,0.399102,0.514355,0.020692,-0.072285
YJL056C,ZAP1,10,332990,333273,0,-0.908101,-0.173616,-0.881664,-0.331067,0.048803,0.163503
YJL062W,LAS21,10,316896,317199,0,-0.338341,-0.126855,0.191881,0.256722,0.06562,0.565432
YJL080C,SCP160,10,289143,289791,0,-0.903979,-1.114581,-0.922941,-0.61558,-0.235072,0.267277
YJL104W,PAM16,10,226654,227243,0,-0.993175,-0.830592,-0.325138,-0.048309,-0.326537,-0.200665
YJL110C,GZF3,10,211495,211917,0,-0.058852,0.303409,0.42201,1.136261,0.195467,0.431305
YKL027W,,11,386849,387204,0,-0.958615,-0.697817,-0.367659,-0.251228,-0.37639,-0.162763
YKL033W,,11,374858,375098,0,-0.203132,-0.207962,0.139456,-0.310206,0.0376,0.200105
YKL050C,,11,345266,345720,0,0.320418,-0.072672,-0.012238,-1.401854,-0.511948,-0.048514
YKL055C,OAR1,11,335803,336182,0,-0.061724,-0.812463,-0.619342,-2.301354,-1.948526,-1.119323
YKL073W,LHS1,11,295838,296074,0,-0.516369,-0.517835,-0.499837,-0.55009,-0.403514,-0.0319
YKL079W,SMY1,11,285853,286247,0,0.177318,0.277521,0.398562,-0.236105,-0.545559,-0.330258
YKL096W-A,CWP2,11,258867,258897,0,-0.219524,-1.05761,-0.96595,-1.54083,-1.226866,-0.576591
YLR008C,PAM18,12,166083,166536,0,-0.98094,-0.852752,-0.324418,-0.179826,-0.581417,-0.332483
YLR014C,PPR1,12,174982,175226,0,-1.408471,-1.415004,-0.811433,-1.293811,-0.161124,0.047586
YLR032W,RAD5,12,204786,204991,0,-0.311722,-0.243135,-0.112778,0.16933,0.032498,0.335354
YLR037C,DAN2,12,223061,224060,0,0.614992,1.192063,0.984276,1.09349,0.685339,0.728231
YLR055C,SPT8,12,253082,253862,0,-0.311576,-0.019254,0.009992,0.036538,-0.319847,0.005696
YLR061W,RPL22A,12,262767,263194,0,-0.546299,-1.677529,-2.066798,-1.577186,-0.723618,-0.067545
YLR079W,SIC1,12,286560,286820,0,0.120329,0.365044,0.491552,0.174932,-0.01019,0.20715
YLR085C,ARP6,12,301991,302244,0,-0.461033,-0.169524,-0.090504,-0.165943,-0.4976,-0.014719
YLR383W,SMC6,12,884751,885287,0,-0.808297,-0.899998,-1.016737,-0.890717,-0.034618,0.807079
YLR389C,STE23,12,902661,903066,0,0.346657,0.435779,0.662172,0.767034,0.103185,0.278797
YLR407W,,12,932353,932964,0,-0.742998,-1.056691,-0.391977,-0.077359,0.294833,0.720014
YLR411W,CTR3,12,946793,947249,0,-0.747372,-0.999424,-0.223007,-0.055983,0.083561,-0.002557
YLR429W,CRN1,12,990436,990772,0,-0.418873,0.071262,0.033341,0.730944,0.155619,0.386203
YLR435W,TSR2,12,1006004,1006373,0,-2.621851,-3.380071,-1.391674,-2.039574,-1.373188,-0.93712
YLR452C,SST2,12,1041364,1041796,0,-0.902921,-1.068539,-0.988583,-0.914412,-0.861869,-0.772146
YMR146C,TIF34,13,558524,559198,0,-1.009489,-1.243991,-1.097033,-0.717458,-0.525286,-0.286253
YMR152W,YIM1,13,562527,563094,0,0.724985,1.380946,1.706593,1.600055,0.463873,0.314233
YMR167W,MLH1,13,594472,594884,0,-1.084497,-0.697547,-0.371507,-0.390322,-0.528775,-0.267107
YMR172W,HOT1,13,605519,605979,0,0.261407,0.092733,0.115276,0.239195,-0.133053,0.109394
YMR189W,GCV2,13,637003,637498,0,-1.479396,-0.671364,0.067002,1.69739,1.486792,0.867119
YMR211W,DML1,13,688864,689081,0,-0.816925,-1.528968,-0.772242,-0.82974,-0.696213,-0.322538
YMR217W,GUA1,13,701038,701788,0,-0.985806,-1.982314,-3.124913,-3.063947,-1.546064,-0.568835
YNL190W,,14,281504,282393,0,-0.243824,-0.146693,0.355265,0.663311,0.492736,0.5098
YNL196C,SLZ1,14,271171,271522,0,0.443488,1.511263,1.226619,0.585268,0.457951,0.450267
YNL214W,PEX17,14,245429,245615,0,0.547202,0.851296,0.587339,0.45117,0.193753,0.226681
YNL220W,ADE12,14,233694,234411,0,-0.954567,-0.493806,-0.382802,0.565642,0.978519,0.186778
YNL238W,KEX2,14,201932,202426,0,-0.256933,-0.084562,0.072497,0.005971,0.139826,0.324676
YNL244C,SUI1,14,187496,188050,0,-0.694642,-0.809318,-0.701096,-0.41148,0.056114,0.367254
YNL262W,POL2,14,147839,148210,0,-0.592325,-1.00582,-0.858646,-0.693698,-0.206062,0.415109
YNL268W,LYP1,14,138093,138548,0,-0.480959,-0.262861,-0.0485,0.166147,0.048265,0.161095
YOL151W,GRE2,15,42692,43691,0,4.104376,4.024115,4.124658,3.642953,2.413493,2.172775
YOL157C,,15,24294,25272,0,-0.888011,-0.538639,-0.15021,0.444352,-0.021013,-0.572453
YOR008C-A,,15,343082,344081,0,0.2479,-0.631744,-0.61358,-2.476527,-2.04662,-1.396144
YOR014W,RTS1,15,356955,357672,0,-0.165917,0.382787,0.634328,0.841453,0.089698,0.130521
YOR032C,HMS1,15,391075,392074,0,-0.206171,0.607512,0.224071,0.376641,0.933284,1.219528
YOR038C,HIR2,15,405388,405767,0,-0.014052,0.132672,0.688991,0.346857,0.428709,0.746258
YOR056C,NOB1,15,431628,432187,0,-1.062689,-1.951148,-2.473768,-1.947324,-0.845615,-0.362789
YOR062C,,15,443533,444532,0,2.150923,1.729578,1.722024,1.616264,1.276957,1.846455
YOR360C,PDE2,15,1014818,1015357,0,0.391567,0.192233,0.240723,0.059811,-0.167049,0.241054
YOR384W,FRE5,15,1061051,1061559,0,0.111561,0.315099,0.242527,-0.494879,-0.71124,-0.677112
YOR390W,,15,1076083,1076779,0,-0.799217,-1.3131,-0.839919,-0.696279,-0.6629,-0.348089
YPL014W,,16,526880,527543,0,0.187028,0.13618,0.125897,-0.265616,-0.559345,-0.36337
YPL020C,ULP1,16,514177,514509,0,-0.523925,0.045765,0.200898,0.014931,-0.244359,0.038687
YPL038W,MET31,16,480370,480531,0,-0.349761,-0.514762,-0.650678,-0.573933,-0.626615,-0.432667
YPR061C,JID1,16,676880,677162,0,1.105258,0.947274,0.776651,0.72979,-0.320799,-1.064289
YPR067W,ISA2,16,682109,682216,0,0.206518,0.524192,0.572238,0.486932,0.059681,0.33841
YPR085C,,16,709827,710099,0,-0.126133,-0.090502,0.011845,-0.045838,-0.242759,0.050062
YPR091C,,16,718467,719466,0,-0.014126,0.869149,1.125322,1.15328,0.345798,0.292307
YPR109W,,16,744385,744686,0,0.26501,0.664427,0.945113,0.553013,0.07006,0.133703
YPR115W,,16,754246,754874,0,0.253948,1.055231,1.68686,1.080262,0.541162,0.366414
YPR133C,SPN1,16,797207,797553,0,-0.173781,-0.002777,0.033823,0.109703,-0.148794,-0.034611
YPR137C-B,,16,810266,810980,0,0.048018,0.004185,0.206473,0.433415,0.415321,0.495738
YCL001W-B,,3,113538,113766,0,-0.371379,-0.462447,-0.297769,-0.560657,-1.236953,-1.326048
YDL085C-A,,4,302671,303211,0,0.550332,0.623407,0.6832,0.645621,0.465643,0.479369
YFR012W-A,,6,168489,169215,0,0.277943,-0.038849,0.210664,0.187828,-0.418493,0.021638
YJL062W-A,,10,316391,316638,0,-0.003414,-0.169877,0.174955,0.146343,0.161548,0.376985
YBR033W,EDS1,2,301254,301943,0,-0.013933,-1.158865,-0.810268,-1.885603,-1.139484,-0.979334
YBR039W,ATP3,2,314788,315574,0,-0.274437,0.476136,0.733631,1.038482,0.337013,0.55674
YBR057C,MUM2,2,353292,353670,0,-0.016534,0.193476,0.195701,0.396046,-0.061587,0.528145
YBR063C,,2,368183,368582,0,0.762696,0.781125,0.680114,0.653331,0.308473,0.382504
YBR081C,SPT7,2,405246,406245,0,0.016717,0.089985,0.18928,0.244232,-0.049017,0.146496
YBR086C,IST2,2,423036,423759,0,0.036568,0.413662,0.722282,0.64417,-0.664998,0.308521
YBR103W,SIF2,2,447317,447702,0,-0.313346,-0.066329,-0.079889,-0.03064,-2.170079,0.123214
YBR109C,CMD1,2,458357,458866,0,0.066949,0.07182,0.304646,0.228905,-0.970972,0.290446
YCR047C,BUD23,3,211541,211924,0,-1.475952,-2.058737,-1.818303,-1.554343,-1.029945,-0.543791
YCR068W,ATG15,3,236317,237208,0,1.248072,0.848925,1.235836,1.603142,0.271837,0.674261
YCR075C,ERS1,3,248812,248971,0,0.22878,0.615706,0.435227,0.454396,0.157364,0.81374
YCR094W,CDC50,3,286439,286757,0,-0.584854,-0.450018,-0.13429,-0.046262,-0.664063,0.209751
YCR100C,,3,302218,302478,0,0.187994,0.98191,1.017296,0.594686,-1.299747,0.176571
YDL010W,,4,431514,432326,0,0.232152,0.442759,0.805902,0.457745,-1.971253,0.982111
