ID,coding/noncoding,chromsome,Start Position,Stop Position,Strand,wild-type T4 min,wild-type T8  min,wild-type T12  min,wild-type T16  min,wild-type T20  min,wild-type T30 min,wild-type T40 min,wild-type T60 min,wild-type T30  min rep2,wild-type T30  min rep3,wild-type T30  min rep4,msn2/4ÆÆ t4  min,msn2/4ÆÆÊt8 min,msn2/4ÆÆ t12 min,msn2/4ÆÆÊt16 min,msn2/4ÆÆ t20 min,msn2/4ÆÆ t30 min,msn2/4ÆÆ t40 min, msn2/4ÆÆ t60 min,msn2/4ÆÆ t30 min rep2,msn2/4ÆÆÊt30  min rep3,msn2/4ÆÆ t30 min  rep4
YAL015C,coding,chr01,128205,126726,C,0.22092,0.28589,0.51087,0.72112,0.91185,1.30003,0.58468,0.1674,1.3812,1.17108,0.83782,-0.07974,0.05325,0.14446,0.36563,0.7475,0.91172,0.89779,0.25022,0.57139,0.11577,1.28125
YAL016C-A,coding,#N/A,#N/A,#N/A,#N/A,2.04462,1.29208,0.53983,1.2307,1.41154,0.95796,1.81806,0.18939,NA,-0.33155,1.5662,0.08176,1.16093,1.41669,1.21922,0.83993,1.49281,1.07429,0.97429,0.23492,1.14312,0.6992
YAL016C-B,coding,#N/A,#N/A,#N/A,#N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3472,1.35308,0.83498,-0.73806,NA,-1.46619,0.67175,NA,0.71404,-0.62481
YAL016W,coding,chr01,124787,126867,W,0.11138,-0.02958,0.61403,0.83768,0.7504,1.1999,1.04751,0.44838,0.7892,0.81187,0.46595,0.33232,0.50927,0.44649,0.50249,0.51087,0.47266,0.56569,0.44585,0.96324,0.23757,0.86085
YAL017W,coding,chr01,119851,123899,W,0.12414,0.37004,0.78579,1.25336,1.49685,1.92038,1.79697,1.00406,1.68496,1.50575,1.41571,0.06998,-0.01968,0.07251,0.72698,0.53334,1.21709,1.36185,0.87936,0.88151,0.67487,1.06335
YAL018C,coding,chr01,119644,118387,C,1.8831,2.67635,2.78429,1.76095,NA,0.56595,2.29534,-0.51542,NA,NA,0.84471,1.09459,0.84113,1.55208,1.66926,1.07072,1.35335,0.85789,0.993,0.48612,1.15554,-0.30507
YAL019W,coding,chr01,114811,118378,W,-0.30245,-0.69667,-1.14146,-1.5192,-1.78366,-2.00049,-1.90831,-0.53279,-1.38741,-1.89182,-2.42395,-0.09193,-0.28597,-0.48727,-1.06384,-1.3152,-1.8215,-1.48433,-0.45212,-1.41548,-1.19384,-1.63329
YAL019W-A,coding,#N/A,#N/A,#N/A,#N/A,0.32816,0.13787,-0.0334,0.90076,0.65225,0.11494,0.41895,-1.0757,-0.29415,0.37789,-0.0344,0.67098,0.25135,0.4292,0.91296,0.24519,1.03981,0.16685,0.39679,0.74907,-0.01923,0.0328
YAL020C,coding,chr01,114623,113575,C,-0.40803,-0.00393,-0.40137,0.18368,0.01151,0.03224,0.46276,0.39588,-0.42882,0.39917,0.00934,0.19904,-0.04718,0.04442,0.21203,-0.3619,0.08428,-0.46275,0.09774,0.70567,-0.5076,0.22772
YAL021C,coding,chr01,113423,110631,C,-0.26824,-0.03646,-0.3626,-0.30267,-0.24219,-0.32465,-0.40566,-0.18385,-0.34431,-0.11099,-0.91582,0.06763,-0.29942,-0.27933,-0.02783,-0.23552,-0.1935,-0.28668,-0.1782,-0.33011,-0.48389,0.24976
YAL022C,coding,chr01,110471,108847,C,-0.32561,-0.11179,-0.57151,-0.37103,-0.64613,-0.41112,0.19926,0.02553,-0.99515,-0.42824,-0.8807,-0.00492,-0.35365,-0.22873,-0.14146,-0.71886,-0.2439,-0.34616,-0.1073,-0.04751,-0.45143,-0.33275
YAL023C,coding,chr01,108679,106151,C,-0.24931,-0.19832,-0.49868,-0.47161,-0.89226,-1.19253,-0.94334,-0.94289,-1.1324,-0.92557,-1.82895,0.00157,-0.39404,-0.41539,-0.33627,-1.0147,-1.04267,-1.45708,-0.98254,-0.94545,-1.03844,-0.54428
YAL024C,coding,chr01,105967,101471,C,-0.07333,-0.47606,-1.15643,-1.3777,-1.04791,-1.09931,-1.2886,-1.00819,-0.91551,-1.20015,-1.20124,-0.20725,-0.45689,-0.68985,-0.70926,-0.71991,-0.66007,-0.55651,-0.59485,-1.1478,-0.72533,-0.91837
YAL025C,coding,chr01,101175,100047,C,-0.50239,-0.9893,-2.04437,-3.17864,-3.32911,-4.28565,-3.36459,-0.96518,-2.90367,-3.91367,-3.7713,-0.87957,-1.23747,-1.54353,-2.31918,-3.08361,-3.53681,-3.17369,-0.95007,-2.57785,-2.02046,-3.48387
YAL026C,coding,chr01,99791,95559,C,-0.12247,-0.4843,-0.33162,-0.54641,-0.5834,-0.24585,-0.3007,-0.23309,-0.20204,-0.44421,-0.74175,-0.02884,-0.11084,-0.27021,-0.36139,-0.47692,-0.4489,-0.1289,-0.10666,-0.17066,-0.20176,-0.38792
YAL026C-A,coding,#N/A,#N/A,#N/A,#N/A,0.19081,-0.01553,0.55079,-0.7799,-0.55758,-0.65667,-0.65989,0.47165,-0.34974,-0.75498,-0.93116,-0.02618,-0.46475,-0.33659,-0.59571,-0.09776,-0.72529,-0.00914,-0.28747,-0.13271,0.4366,-0.4382
YAL027W,coding,chr01,94595,95499,W,0.3136,0.51274,0.56403,0.23908,0.68366,0.70327,0.06246,0.15837,1.16319,0.87982,0.44194,0.09728,0.43143,0.42691,0.03628,0.97481,0.13261,0.58759,0.10563,0.29375,0.15237,0.97567
YAL028W,coding,chr01,92799,94665,W,0.50093,1.05415,1.34983,1.72316,1.81843,1.53148,0.90174,0.31894,2.09269,1.34569,1.28066,0.37795,0.37017,0.76631,1.16211,1.0311,1.03814,0.49397,0.60313,0.95351,0.18133,1.2597
YAL029C,coding,chr01,92495,87775,C,-0.39275,-0.85022,-1.13657,-1.38148,-1.39781,-1.03375,-1.10234,-0.50774,-0.86629,-1.16337,-1.35403,-0.12952,-0.33849,-0.63557,-0.49024,-0.821,-0.67335,-0.26232,0.08012,-0.78379,-0.43413,-0.86967
YAL030W,coding,chr01,87251,87395,W,-0.44564,-0.33496,-0.31752,-0.25735,-0.45954,0.29808,0.59384,0.97958,-0.08616,0.45684,0.09361,-0.30305,-0.45545,-0.35686,-0.37661,-0.44543,0.04781,0.14663,0.52613,0.99635,-0.30442,0.32023
YAL031C,coding,chr01,87079,84695,C,-0.00629,0.05136,0.46223,0.8503,1.06101,1.15674,0.68134,0.25485,0.97966,1.01531,0.64811,0.04299,0.01623,0.17723,0.51186,0.74724,0.80513,0.5322,0.08215,0.34117,-0.04825,1.13805
YAL031W-A,coding,#N/A,#N/A,#N/A,#N/A,1.7233,1.77951,1.32724,1.20376,NA,0.6712,1.83575,0.68089,NA,NA,1.88325,NA,1.16729,1.12198,1.50608,1.66509,1.79948,1.2866,1.36071,NA,1.04269,0.04926
YAL032C,coding,chr01,84503,83399,C,-0.36608,-0.5282,-0.65812,-0.48788,-0.28338,0.07168,-0.04914,0.03423,0.33273,0.07078,0.03179,-0.18975,-0.60938,-0.36105,-0.31345,-0.35635,0.23486,0.06287,-0.32705,-0.18802,-0.52056,0.25795
YAL033W,coding,chr01,82683,83315,W,-0.30565,-0.07537,-0.41424,-0.58549,-0.87227,-1.36365,-1.3698,-1.00093,-0.66367,-1.25111,-1.69323,0.26202,0.15081,0.04407,-0.13345,-0.56479,-0.85556,-1.2755,-0.79393,-0.49421,-0.99383,-0.59922
YAL034C,coding,chr01,82054,80533,C,0.18027,0.57049,1.31167,1.80094,1.97314,2.14995,1.67377,0.89763,1.85086,2.3172,1.62216,-0.08831,-0.17394,0.13457,0.50857,0.55282,0.50713,0.39251,0.13252,0.18609,0.00045,0.57866
YAL034C-B,coding,#N/A,#N/A,#N/A,#N/A,NA,2.45103,-1.01103,NA,NA,0.48568,0.806,NA,NA,NA,0.69619,0.99348,1.12969,0.94487,0.8252,0.43016,1.38173,0.81414,-0.55729,-0.84995,1.14884,-1.07238
YAL034W-A,coding,chr01,79691,80611,W,0.3926,0.57431,0.00756,-0.46882,-0.04308,-0.35651,-0.99761,-0.3626,0.62936,-0.61093,-0.34426,-0.09832,-0.09675,0.14492,-0.04401,0.17023,0.19982,-0.0166,-0.40994,-0.6116,-0.30831,-0.18871
YAL035W,coding,chr01,76371,77507,W,-0.26316,-0.58328,-0.33913,-0.55908,-1.11105,-1.05266,-1.11906,-0.33899,-0.38901,-0.82177,-1.65728,0.14206,0.09662,-0.08627,-0.25666,-0.74417,-1.12666,-1.0617,-0.31293,-0.94688,-0.9881,-0.26346
YAL036C,coding,chr01,76199,74928,C,-0.392,-0.579,-0.47555,-0.77411,-1.3998,-2.48831,-2.12708,-0.43769,-1.2947,-1.88979,-3.24644,-0.01593,-0.18903,-0.31602,-0.52791,-1.25694,-2.26956,-2.44726,-0.66121,-1.12787,-1.22004,-1.21333
YAL037C-A,coding,chr01,73621,73249,C,0.03916,NA,NA,1.75731,NA,NA,0.42599,NA,NA,NA,2.17502,NA,1.50375,1.4962,NA,1.09601,NA,1.57512,NA,NA,1.55669,NA
YAL037C-B,coding,#N/A,#N/A,#N/A,#N/A,0.42934,0.75199,0.17172,0.17935,0.07153,-0.98536,-0.73677,-1.19028,-0.76627,-0.5871,-0.66799,0.5423,0.86378,0.99948,0.49626,0.13682,0.68825,-1.07211,-0.82391,0.25307,-0.70302,-1.2707
YAL037W,coding,chr01,73891,74411,W,0.53207,0.85405,0.50281,0.1671,0.44065,-0.07167,0.00491,0.26954,0.56785,0.04265,0.18499,0.2112,0.60193,0.44995,0.24435,0.62974,0.08441,0.23899,0.0914,-0.14868,0.36257,0.02515
YAL038W,coding,chr01,71739,73387,W,-0.11513,0.1361,0.16209,0.19545,0.20649,-0.73369,-0.85769,-1.31218,-0.96258,-0.10086,-1.0511,-0.49536,-0.64969,-0.59049,-0.86321,-0.97652,-1.38243,-1.40715,-1.06698,-0.28959,-1.0164,0.67709
YAL039C,coding,chr01,69623,68647,C,-0.36735,-0.21182,-0.04238,0.64164,0.57326,1.30387,1.56221,1.70158,0.13376,1.08717,1.05125,0.11279,-0.03404,-0.04884,-0.20592,-0.34257,0.73536,0.59808,1.26443,2.40553,0.28004,0.65255
YAL040C,coding,chr01,67847,65591,C,-0.7769,-0.92863,-1.23827,-1.06742,-1.278,-1.00307,-0.42853,-0.24343,-1.57824,-0.99327,-1.34297,-0.51236,-1.22094,-1.57878,-1.48098,-2.15422,-1.49167,-1.17664,-0.31889,-1.20104,-1.04551,-1.79531
YAL041W,coding,chr01,62779,65475,W,-0.19516,-0.27627,-0.12804,-0.08467,0.06576,0.19521,-0.12354,-0.00467,0.31582,0.18584,-0.17802,0.23009,-0.02482,-0.01718,0.25263,0.3989,0.3796,0.29672,-0.07341,-0.16935,-0.18591,0.55022
YAL042C-A,coding,#N/A,#N/A,#N/A,#N/A,0.44003,0.4923,0.29251,1.27365,1.13293,1.47043,1.10656,1.23424,NA,0.74817,1.52014,1.51403,1.01576,1.07763,1.02955,0.9267,1.80054,1.57296,2.03805,0.3419,1.17179,-0.24321
YAL042W,coding,chr01,61275,62595,W,-0.69793,-0.44541,-0.86373,-0.54754,-0.80972,-0.77714,-0.29386,-0.03461,-0.94814,-0.70232,-1.18084,0.0137,-0.30986,-0.2338,-0.19838,-0.83119,-0.59268,-0.71479,-0.24302,0.01645,-0.82237,-0.57164
YAL043C,coding,chr01,61095,58775,C,-0.30195,-0.20911,-0.26915,-0.1013,-0.10606,0.18313,0.39861,0.15974,-0.24808,0.13945,-0.25949,0.28609,0.02663,0.0246,0.10389,0.04176,0.39929,0.3331,-0.00575,0.4811,-0.16668,0.3474
YAL044C,coding,chr01,58487,57863,C,-0.50611,-0.35685,-0.74352,-1.04354,-1.48267,-1.78971,-1.48204,-0.71402,-1.49249,-1.17517,-2.1066,-0.65976,-0.67359,-0.68739,-0.83474,-1.16132,-1.31609,-0.75478,0.01783,-0.07999,-0.72349,-0.97118
YAL044W-A,coding,chr01,57417,58029,W,-0.61674,-0.1695,-0.45869,-0.46197,-0.65253,-0.46341,-0.44247,0.3163,-0.92852,-0.28374,-1.04217,0.03211,-0.10664,-0.13656,-0.1149,-0.50294,-0.25792,-0.79627,-0.16859,0.36037,-0.74982,0.06204
YAL045C,coding,#N/A,#N/A,#N/A,#N/A,0.75984,0.45402,0.54783,0.71493,0.64438,-0.17932,0.64138,-1.41541,NA,NA,NA,1.26815,1.56839,1.25431,1.36331,0.35571,1.23596,1.24857,1.32748,0.95103,0.9867,-0.85665
YAL046C,coding,chr01,57423,57031,C,-0.74706,-0.68378,-1.041,-1.06571,-1.36975,-1.39191,-0.75902,-0.10827,-1.38554,-1.13069,-1.37533,-0.33078,-0.34105,-0.45407,-0.62918,-1.0272,-0.90601,-0.96933,-0.21726,0.18935,-1.16252,-0.62215
YAL047C,coding,chr01,57047,54975,C,0.42189,0.34379,0.01407,-0.6814,-0.20179,-0.44968,-0.89127,-0.33117,0.60639,-0.19385,-0.07696,-0.15961,0.22925,0.11149,-0.25827,0.25225,-0.08622,0.23012,0.09424,-1.18052,-0.21311,0.25269
YAL047W-A,coding,#N/A,#N/A,#N/A,#N/A,0.83064,1.02325,0.23382,0.49681,1.1638,0.18819,1.43595,-1.27102,NA,NA,1.0063,0.17926,1.43868,1.03785,1.21469,0.88501,1.58294,1.60292,1.09209,-0.14122,0.25023,-0.15634
YAL048C,coding,chr01,54799,52663,C,0.10581,0.24364,0.39959,0.36657,0.50756,0.59931,0.34701,0.25552,0.59128,0.44526,-0.01577,0.09151,0.16905,0.27324,0.54901,0.5451,0.62285,0.44155,0.37435,0.3416,0.04268,0.77973
YAL049C,coding,chr01,52679,51711,C,-0.31185,-0.22067,0.18477,0.12721,0.30722,0.48427,0.74338,0.88989,0.30259,0.41657,-0.10394,0.24144,0.16636,0.10011,0.29566,0.15811,0.23267,0.06873,0.60791,0.95565,-0.12214,0.41413
YAL051W,coding,chr01,48525,51803,W,0.10781,0.09623,0.10737,0.04402,0.28582,0.74538,0.51951,0.55847,0.54426,0.5676,0.32792,0.02661,-0.0387,0.02693,0.16627,0.26818,0.47494,0.75432,0.53115,0.44235,0.22561,0.38759
YAL053W,coding,chr01,45749,48317,W,-0.19464,-0.38335,-0.54406,-0.22392,-0.13702,0.47036,0.86725,0.32195,-0.23535,0.31642,-0.11906,0.06133,-0.25319,-0.32625,-0.12327,-0.42795,0.27981,0.53953,0.43994,0.28553,0.14124,-0.06765
YAL054C,coding,chr01,45125,42704,C,0.22133,0.81655,0.59365,1.10429,1.10912,1.08887,2.01554,1.97036,0.45964,1.41632,1.25918,0.4812,0.26005,0.3887,1.00326,0.36826,1.22214,0.97459,1.51796,0.91829,0.80333,0.80747
YAL055W,coding,chr01,42133,42885,W,0.9404,0.61276,0.33056,0.21865,0.87848,0.24226,-0.15595,0.10422,0.78537,0.11412,0.37602,-0.21443,-0.18416,0.10792,-0.13825,-0.0409,0.17752,-0.0827,-0.2138,0.07729,-0.31343,0.40074
YAL056C-A,coding,#N/A,#N/A,#N/A,#N/A,1.33425,0.79061,1.0372,1.07016,0.79906,0.09117,0.97238,0.53579,NA,NA,0.53548,0.7642,1.2765,1.40984,1.58033,0.37985,1.86034,0.97512,0.26317,0.45981,0.68978,0.00624
YAL056W,coding,chr01,39205,41845,W,-0.13646,0.01844,0.30835,0.2584,0.22566,0.58231,0.2218,-0.04496,0.36669,0.32678,0.05293,-0.13725,0.14973,0.07588,0.395,0.25141,0.44138,0.35992,0.02907,0.19806,-0.10133,0.39542
YAL058W,coding,chr01,37397,38901,W,-0.43741,-0.44689,-0.62249,-0.62578,-0.59807,-0.65272,-0.31641,0.31348,-0.87135,-0.53656,-0.90224,-0.07382,-0.29279,-0.32884,-0.48529,-0.75315,-0.7054,-0.49247,0.11769,0.05932,-0.51282,-0.53532
YAL059C-A,coding,#N/A,#N/A,#N/A,#N/A,1.49445,1.84505,0.67073,1.15106,0.79551,0.14022,1.02528,NA,NA,NA,-1.17207,0.2889,1.36274,1.21294,-0.49398,-0.15229,0.33748,0.44564,0.34291,-1.01267,0.79468,1.36355
YAL059W,coding,chr01,36533,37069,W,-0.33394,-0.77084,-1.24564,-2.37341,-2.97392,-3.47215,-2.77406,-0.61561,-2.58466,-2.79202,-3.54725,-0.68543,-0.60336,-0.84967,-1.70113,-2.39536,-2.91398,-2.87131,-0.81633,-1.91379,-1.78783,-3.05451
YAL060W,coding,chr01,35085,36317,W,-0.10719,0.38106,0.60351,1.19961,1.44883,2.04272,2.46355,1.55213,0.85601,1.82701,1.70018,0.34935,0.27652,0.28337,0.46323,-0.15413,0.40093,0.15963,0.8433,0.59234,-0.29292,0.2759
YAL061W,coding,chr01,33365,35101,W,0.25416,0.87822,1.52348,2.42274,2.45735,3.11618,3.50169,2.08459,1.80305,2.26923,2.8733,0.19382,0.09548,0.31182,0.63453,0.44362,1.47095,0.72852,0.39926,0.87623,0.4014,1.09459
YAL062W,coding,chr01,31109,31580,W,0.01278,0.48218,0.03602,0.7178,0.95912,1.65597,2.0346,1.47826,0.63237,1.17319,1.24759,0.44339,0.47736,0.43646,0.36587,0.1597,1.01568,0.60189,0.90913,1.86767,0.26359,0.59185
YAL063C,coding,chr01,28071,23823,C,0.12632,0.31955,-0.49426,-0.50388,-0.08661,0.11717,0.59503,0.32271,-0.37589,0.12887,-0.41482,-0.01046,-0.37455,-0.70466,-0.62824,-0.65809,0.07319,0.24201,-0.28906,-0.20947,-0.10135,-0.38432
YAL063C-A,coding,chr01,22789,22219,C,NA,NA,-0.12034,-0.27101,0.95109,0.39891,0.56622,-0.31245,NA,0.13598,0.42566,0.56835,0.55676,0.4087,0.15583,0.57151,0.45487,0.135,0.14732,NA,0.56131,-0.08199
YAL064C-A,coding,chr01,13846,13186,C,1.30186,1.07739,0.7383,0.00382,1.25376,-0.41425,0.33257,0.17359,NA,-1.1583,0.44089,0.61903,0.00374,-0.10713,-0.34366,-0.69626,0.05885,-0.37207,-0.83034,0.07382,-0.15031,-0.01984
YAL064W,coding,chr01,21424,22030,W,1.7448,1.87643,0.93771,0.47826,1.78736,0.5129,1.06239,-0.14467,NA,0.9758,1.14059,0.45306,0.56402,-0.17151,-0.06602,-0.32977,1.38863,1.00825,0.20628,-0.31357,0.55024,-0.23516
YAL064W-B,coding,chr01,11945,12605,W,0.16158,-0.35465,-0.4421,-0.01297,0.15234,0.26263,0.79755,-0.17654,-0.29288,0.00347,-0.36633,-0.19922,-0.38354,-0.30577,0.04462,-0.54575,0.40474,-0.20648,-0.10192,0.30689,-0.20624,0.10886
YAL065C,coding,chr01,12054,11388,C,0.0246,0.47249,0.18693,0.56579,1.09007,0.99554,1.187,0.63892,0.4272,1.23369,0.2789,0.12792,-0.03838,0.27647,0.15255,0.15771,0.7666,0.52307,0.56144,1.14847,-0.10841,0.8773
YAL066W,coding,#N/A,#N/A,#N/A,#N/A,0.69073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88166,1.28459,-0.36748,NA,1.19206,NA,NA,1.1109,NA
YAL067C,coding,chr01,9119,7058,C,0.53774,1.23726,0.59491,0.06645,0.44584,0.16066,0.54218,-0.01745,NA,-0.30355,0.77419,0.64307,0.80809,0.37028,0.63431,0.34481,0.66836,0.70748,0.50804,0.19747,0.50678,-0.86998
YAL067W-A,coding,chr01,2378,2885,W,NA,2.9183,NA,NA,NA,NA,2.9573,NA,NA,NA,1.3189,NA,0.91892,0.40001,1.00035,-0.13975,1.09127,0.81554,NA,-0.41453,1.46572,NA
YAL068C,coding,chr01,2271,1629,C,0.54616,0.30102,-0.32229,-0.1353,0.04496,0.13981,0.1802,-0.03469,0.11399,0.0848,-0.31688,-0.40264,-0.52601,0.06333,0.70799,0.24745,0.34698,-0.23774,-0.14398,0.96875,-0.2542,0.93259
YAL068W-A,coding,#N/A,#N/A,#N/A,#N/A,NA,0.82384,1.75498,0.04162,NA,0.26682,0.45658,1.0486,NA,NA,2.13646,0.14908,-0.1995,0.76072,0.89512,1.13839,-0.17894,0.55376,0.23998,NA,0.33921,NA
YAL069W,coding,#N/A,#N/A,#N/A,#N/A,2.23758,2.64198,1.39987,0.44517,1.42764,0.48598,0.69133,1.08722,-0.3478,0.28506,0.25836,-0.16195,-0.08439,-0.43172,-0.41083,0.90685,-0.60139,0.29188,-0.12903,-0.68092,0.22139,0.00828
YAR002C-A,coding,chr01,154766,154007,C,-0.12957,0.1053,-0.10874,-0.13963,-0.58865,-0.96563,-0.46966,-0.19914,-0.66538,-0.69869,-1.5686,0.06005,-0.06341,-0.06539,0.05612,-0.51075,-0.53317,-0.96142,-0.35846,-0.11511,-0.61308,-0.13833
YAR002W,coding,chr01,152211,153923,W,-0.20713,-0.39252,-0.43431,-0.73104,-0.69408,-0.64713,-0.95031,-0.31035,-0.18562,-0.24429,-0.98901,-0.07957,0.00158,-0.17674,-0.40524,-0.20216,-0.3532,-0.30353,-0.45397,-0.4272,-0.50205,0.155
YAR003W,coding,chr01,154923,156459,W,-0.31539,-0.15948,-0.26058,0.0495,0.56995,0.67467,0.57438,-0.20626,0.52852,0.17022,0.12688,-0.34659,0.00589,-0.25749,0.24999,0.12755,0.62173,0.58435,0.05377,0.27065,0.0427,0.21389
YAR007C,coding,chr01,158703,156791,C,0.03892,-0.11974,0.31896,0.3629,0.58535,1.17105,0.96665,1.42388,1.03822,0.77951,0.74696,0.10984,0.22507,0.25496,0.38732,0.76525,0.88231,1.31301,1.30254,1.4335,0.63222,1.11519
YAR008W,coding,chr01,158851,159803,W,-0.25824,-0.86314,-0.93092,-1.26257,-1.32084,-1.00075,-0.93649,-0.27223,-0.78257,-1.28255,-1.63875,-0.474,-0.40149,-0.64422,-0.74464,-0.42485,-0.67859,-0.49597,-0.2499,-0.12142,-0.78366,-0.63469
YAR009C,coding,#N/A,#N/A,#N/A,#N/A,0.21001,-0.43076,0.19405,-0.0969,-0.20092,-0.33188,-0.96431,-0.05985,-0.22279,0.03651,-0.74117,-0.90893,-0.66968,-0.77212,-0.63369,0.01979,-1.21177,-0.28857,-0.34496,-0.32385,0.226,0.67709
YAR010C,coding,#N/A,#N/A,#N/A,#N/A,0.10425,-0.20614,0.33164,0.66158,0.16297,0.06379,-0.32533,0.02167,-0.22279,0.03651,-0.25294,-0.70349,-0.65474,-0.60749,-0.62479,NA,-0.89214,-0.81235,-0.44455,-0.12673,0.26028,0.67709
YAR014C,coding,chr01,169023,166951,C,-0.37127,-0.66729,-0.94363,-1.09635,-0.93428,-0.73767,-0.936,-0.40532,-0.61407,-0.81161,-1.30119,-0.27552,-0.42086,-0.67689,-0.84693,-0.73114,-0.51241,-0.33443,-0.22727,-0.64249,-0.74582,-0.8305
YAR015W,coding,chr01,169259,170387,W,-0.40562,-0.55773,-0.4546,-0.657,-0.88615,-1.18224,-1.3994,-0.80082,-0.58444,-0.76747,-1.84424,-0.27767,-0.12025,-0.36037,-0.60393,-0.61929,-0.95346,-0.55414,-0.18045,-0.3441,-0.71979,-0.33361
YAR018C,coding,chr01,171711,170432,C,-0.0837,-0.12859,-0.76401,-1.49664,-1.26832,-1.84022,-1.80696,-1.60285,-1.71105,-2.12863,-2.044,-0.23956,-0.37457,-0.59335,-1.11492,-1.59916,-1.67161,-1.58337,-1.54504,-1.27252,-1.05592,-1.71306
