ORF,name,chr,start,end,Yap4_0min,Yap4_5min,Yap4_15min,Yap4_30min,Yap4_45min,Hot1_30min,Msn1_30min,Msn2_0min,Msn2_30min,Msn4_0min,Msn4_30min,Skn7_30min,Smp1_30min,Sko1_0min,Sko1_5min,Sko1_15min,Sko1_30min,Sko1_45min,Yap6_0min,Yap6_30min,Yap4_binding_pat,Sko1_binding_pat
YLL004W,ORC3,12,140545,141071,,,,,,,,,,,,,,,,,,,,,,
YLL010C,PSR1,12,130613,131204,,,,,,,,,,,,,,,,,,,,,,
YLL027W,ISA1,12,86563,87401,,,,,,,,,,,,,,,,,,,,0.325,,
YLL033W,,12,73145,73407,,,,,,,,,,,,,,,,,,,,,,
YLL051C,FRE6,12,39471,39803,,,,,,,,,,,,,,,,,,,,,,
YLL057C,JLP1,12,26995,27409,,,,,,,,,,,,,,,,,,,,,,
YLR288C,MEC3,12,714907,715091,,,,,,,,,,,,,,,,,,,,,,
YLR312C,,12,758836,759385,,,,,,,,,,,,,,,,,,,,,,
YLR335W,NUP2,12,796430,797429,0.627,0.773,0.837,1.135,1.108,,,,,,,,,0.348,0.466,0.417,0.509,0.352,,,3,2
YLR341W,SPO77,12,806825,807384,,,,,,,,,,,,,,,,,,,,,,
YLR359W,ADE13,12,843999,844280,,,,,,,,,,,,,,,,,,,,,,
YMR054W,STV1,13,382897,383301,,,,,,,,,,,,,,,,,,,,,,
YMR060C,SAM37,13,392515,392754,,,,,,,,,,,,,,,,,,,,,,
YMR077C,VPS20,13,422149,422502,,,,,,,,,,,,,,,,,,,,,,
YMR083W,ADH3,13,433787,434786,,,,,,,,,,,,0.461,,,,,,,,,,
YMR100W,MUB1,13,465299,466298,,,,,,,,,,,,,,,,,,,,,,
YMR106C,YKU80,13,480190,481189,,,,,,,,,,,,,,,,,,,,,,
YMR123W,PKR1,13,512592,513591,,,,,,,,,,,,,,,,,,,,,,
YMR129W,POM152,13,527498,527802,,,,,,,,,,,,,,,,,,,,,,
YNL094W,APP1,14,446840,447610,,,,,,,,,,,,,,,,,,,,,,
YNL100W,,14,437140,437612,,,,,,,,,,,,,,,,,,,,,,
YNL118C,DCP2,14,405565,406358,,,,,,,,,,,,,,,,,,,,,,
YNL124W,NAF1,14,392167,392891,,,,,,,,,,,,,,,,,,,,,,
YNL142W,MEP2,14,356453,357452,,,,,,,,,,,,,,,,,,,,,,
YNL148C,ALF1,14,350672,350940,,,,,,,,,,,,,,,,,,,,,,
YNL166C,BNI5,14,323566,323832,,,,,,,,,,,,,,,,,,,,,,
YNL172W,APC1,14,310057,310635,,,,,,,,,,,,,,,,,,,,,,
YOL057W,,15,220471,220764,,,,,,,,,,,,,,,,,,,,,,
YOL063C,CRT10,15,210265,210519,,,,,,,,,,,,,,,,,,,,,,
YOL081W,IRA2,15,170069,171068,0.094,0.138,0.456,0.674,0.546,,,,,,,0.384,,,,,,,,,3,
YOL087C,,15,158637,159172,,,,,,,,,,,,,,,,,,,,,,
YOL103W-B,,15,117453,117998,0.688,0.639,1.135,1.285,1.142,,,,,,,,,,,,,,,,3,
YOL109W,ZEO1,15,109888,110295,1.116,1.212,0.999,1.132,1.131,,,,,,,,,,,,,,0.712,0.744,1,
YOL127W,RPL25,15,79478,80346,,,,,,,,,,,,,,,,,,,,,,
YOL133W,HRT1,15,70043,70323,,,,,,,,,,,,,,,,,,,,,,
YOR268C,,15,825930,826382,,,,,,,,,,,,,,,,,,,,,,
YOR274W,MOD5,15,836671,837670,0.954,0.72,1.348,1.573,1.526,,,,,,,1.164,,,,,,,,0.331,3,
YOR292C,,15,866580,867095,,,,,,,,,,,,0.4,,,,,,,,0.333,,
YOR298C-A,MBF1,15,877683,878431,0.177,0.299,0.331,0.364,0.267,,,,,,,,,,,,,,,,2,
YOR320C,GNT1,15,915090,916025,,,,,,,,,,,,,,,,,,,,,,
YOR338W,,15,956618,956892,,,,,,,,,,,,,,,,,,,,,,
YPL257W,,16,62279,63278,,,,,,,,,,,,,,,,,,,,,,
YPL273W,SAM4,16,24701,25086,,,,,,,,,,,,,,,,,,,,,,
YPL279C,,16,14356,15053,,,,,,,,,,,,,,,,,,,,,,
YPR013C,,16,585583,586582,,,,,,,,,,,,0.764,,1.282,1.068,0.665,0.886,1.006,1.077,0.603,,1
YPR019W,CDC54,16,596293,596746,,,,,,,,,,,,,,,,,,,,,,
YPR037C,ERV2,16,647036,647302,,,,,,,,,,,,,,,,,,,,,,
YPR043W,RPL43A,16,653659,654162,,,,,,,,,,,,,,,,,,,,,,
YAL010C,MDM10,1,135668,135856,,,,,,,,,,,,,,,,,,,,,,
YAL016W,TPD3,1,124493,124879,,,,,,,,,,,,,,,,,,,,,,
YAL034C,FUN19,1,81953,82707,,,,,,,,,,,,,,,,,,,,,,
YAL038W,CDC19,1,70787,71786,0.743,0.516,0.889,0.886,0.941,,,,0.582,,,0.368,,,,,,,,0.558,1,
YAL063C,FLO9,1,27970,28969,2.956,2.742,2.989,2.862,2.769,,,,0.446,,0.379,0.892,0.428,,,,,,1.599,2.422,1,
YBR139W,,2,515330,515657,-0.042,0.092,0.367,0.42,0.227,,,,,,,,,,,,,,,,3,
YBR145W,ADH5,2,532756,533755,0.209,0.112,0.438,0.591,0.546,,,,,,,,,,,,,,,,3,
YBR162W-A,YSY6,2,564565,565225,,,,,,,,,,,,,,,,,,,,,,
YBR168W,PEX32,2,571885,572365,,,,,,,,,,,,,,,,,,,,,,
YBR186W,PCH2,2,599954,600547,,,,,,,,,,,,,,,,,,,,,,
YBR192W,RIM2,2,607135,607646,,,,,,,,,,,,,,,,,,,,,,
YBR210W,ERV15,2,644545,645544,,,,,,,,,,,,,,,,,,,,,,
YBR216C,YBP1,2,657596,657827,,,,,,,,,,,,,,,,,,,,,,
YDL045W-A,MRP10,4,371758,372244,,,,,,,,,,,,,,,,,,,,0.335,,
YDL051W,LHP1,4,363583,363951,,,,,,,,,,,,,,,,,,,,,,
YDL069C,CBS1,4,333811,334217,,,,,,,,,,,,,,,,,,,,,,
YDL075W,RPL31A,4,321552,322225,,,,,,,,,,,,0.465,,,,,,,,0.345,,
YDL093W,PMT5,4,289512,289908,,,,,,,,,,,,,,,,,,,,,,
YDL099W,BUG1,4,283176,283418,,,,,,,,,,,,,,,,,,,,,,
YDL117W,CYK3,4,247612,248580,,,,,,,,,,,,,,,,,,,,,,
YDL123W,SNA4,4,241197,241417,,,,,,,,,,,,,,,,,,,,,,
YDR172W,SUP35,4,807743,808318,,,,,,,,,,,,,,,,,,,,,,
YDR178W,SDH4,4,817520,817944,,,,,,,,,,,,,,,,,,,,,,
YDR195W,REF2,4,848218,848593,,,,,,,,,,,,,,,,,,,,,,
YDR201W,SPC19,4,856088,856311,,,,,,,,,,,,,,,,,,,,,,
YDR221W,GTB1,4,906846,907323,,,,,,,,,,,,,,,,,,,,,,
YDR239C,,4,943415,943668,,,,,,,,,,,,,,,,,,,,,,
YDR245W,MNN10,4,952395,952793,,,,,,,,,,,,,,,,,,,,,,
YDR540C,,4,1517658,1518657,,,,,,,,,,,,,0.498,,,,,,,,,
YEL001C,,5,150978,151977,,,,,,,,,,,,,,,,,,,,,,
YEL018W,EAF5,5,121301,121470,,,,,,,,,,,,,,,,,,,,,,
YEL023C,,5,110553,111421,,,,,,,,,,,,,,,,,,,,,,
YEL041W,YEF1,5,75327,75943,,,,,,,,,,,,,0.335,,,,,,,,,
YEL047C,,5,66798,67629,,,,,,,,,,,,,,,,,,,,,,
YEL064C,AVT2,5,31240,31694,,,,,,,,,,,,,,,,,,,,,,
YEL070W,DSF1,5,18589,19588,0.034,0.619,0.518,0.601,0.516,,,,,,,,,0.283,0.455,0.556,0.507,0.555,0.442,0.417,2,2
YFR018C,,6,184211,184490,,,,,,,,,,,,,,,,,,,,,,
YFR024C,,6,203422,204421,0.416,0.511,0.687,0.945,0.801,,,,,,,0.359,,,,,,,,,3,
YFR039C,,6,233532,234229,0.448,0.438,0.467,0.894,0.864,,,,,,,,,,,,,,,,3,
YFR045W,,6,241424,242128,,,,,,,,,,,,,,,,,,,,,,
YGL006W,PMC1,7,485538,485924,,,,,,,,,,,,,,,,,,,,,,
YGL012W,ERG4,7,472303,472859,0.23,0.311,0.304,0.614,0.555,,,,,,,,,,,,,,,,3,
YGL030W,RPL30,7,438096,439095,,,,,,,,,,,,,,,,,,,,0.394,,
YGL036W,,7,427953,428605,0.097,0.137,0.49,0.661,0.514,,,,,,,,,0.393,0.628,0.429,0.376,0.342,,,3,3
YGR074W,SMD1,7,635471,635715,,,,,,,,,,,,,,,,,,,,,,
YGR080W,TWF1,7,641836,642013,,,,,,,,,,,,,,,,,,,,,,
YGR098C,ESP1,7,687463,687903,,,,,,,,,,,,,,,,,,,,,,
YGR104C,SRB5,7,698373,698603,,,,,,,,,,,,,,,,,,,,,,
YGR120C,COG2,7,730827,731454,,,,,,,,,,,,,,,,,,,,,,
YGR125W,,7,741667,742329,,,,,,,,,,,,,,,,,,,,,,
YGR143W,SKN1,7,774198,775197,,,,,,,,,,,,0.482,,,,,,,,,,
YGR149W,,7,788036,789035,,,,,,,,,,,,,,0.485,0.47,0.427,0.653,0.417,,,,2
YHR096C,HXT5,8,296450,297387,,,,,,,,,,,,,,1.839,1.291,1.22,1.68,1.427,,,,1
YHR102W,KIC1,8,315970,316573,,,,,,,,,,,,,,,,,,,,,,
YHR120W,MSH1,8,349287,349575,,,,,,,,,,,,,,,,,,,,,,
YHR126C,,8,360184,360915,,,,,,,,,,,,,,,,,,,,,,
YHR142W,CHS7,8,382753,383539,,,,,,,,,,,,,,,,,,,,,,
YHR147C,MRPL6,8,393286,393536,,,,,,,,,,,,,,,,,,,,,,
YHR165C,PRP8,8,436950,437171,,,,,,,,,,,,,,,,,,,,,,
YHR171W,ATG7,8,445384,445711,,,,,,,,,,,,,,,,,,,,,,
YJL031C,BET4,10,387355,387573,,,,,,,,,,,,,,,,,,,,,,
YJL037W,,10,375690,376577,,,,,,,,,,,,,,,,,,,,,,
YJL056C,ZAP1,10,332990,333273,,,,,,,,,,,,,,,,,,,,,,
YJL062W,LAS21,10,316896,317199,,,,,,,,,,,,,,,,,,,,,,
YJL080C,SCP160,10,289143,289791,,,,,,,,,,,,,,,,,,,,,,
YJL104W,PAM16,10,226654,227243,,,,,,,,,,,,,,,,,,,,,,
YJL110C,GZF3,10,211495,211917,,,,,,,,,,,,,,,,,,,,,,
YKL027W,,11,386849,387204,,,,,,,,,,,,,,,,,,,,,,
YKL033W,,11,374858,375098,,,,,,,,,,,,,,,,,,,,,,
YKL050C,,11,345266,345720,,,,,,,,,,,,,,,,,,,,,,
YKL055C,OAR1,11,335803,336182,,,,,,,,,,,,,,,,,,,,,,
YKL073W,LHS1,11,295838,296074,,,,,,,,,,,,,,,,,,,,,,
YKL079W,SMY1,11,285853,286247,,,,,,,,,,,,,,,,,,,,,,
YKL096W-A,CWP2,11,258867,258897,,,,,,,,,,,,,,,,,,,,,,
YLR008C,PAM18,12,166083,166536,,,,,,,,,,,,,,,,,,,,,,
YLR014C,PPR1,12,174982,175226,,,,,,,,,,,,,,,,,,,,,,
YLR032W,RAD5,12,204786,204991,,,,,,,,,,,,,,,,,,,,,,
YLR037C,DAN2,12,223061,224060,0.18,0.184,0.408,0.427,0.386,,,,,,,,,,,,,,,,3,
YLR055C,SPT8,12,253082,253862,,,,,,,,,,,,,,,,,,,,,,
YLR061W,RPL22A,12,262767,263194,,,,,,,,,,,,,,,,,,,,,,
YLR079W,SIC1,12,286560,286820,,,,,,,,,,,,,,,,,,,,,,
YLR085C,ARP6,12,301991,302244,,,,,,,,,,,,,,,,,,,,,,
YLR383W,SMC6,12,884751,885287,,,,,,,,,,,,,,,,,,,,,,
YLR389C,STE23,12,902661,903066,0.223,0.403,0.761,1.029,0.789,,,,,,,,,0.382,0.41,0.413,0.403,0.276,,,3,1
YLR407W,,12,932353,932964,,,,,,,,,,,,,,,,,,,,0.323,,
YLR411W,CTR3,12,946793,947249,,,,,,,,,,,,,,,,,,,,,,
YLR429W,CRN1,12,990436,990772,,,,,,,,,,,,,,,,,,,,,,
YLR435W,TSR2,12,1006004,1006373,,,,,,,,,,,,,,,,,,,,,,
YLR452C,SST2,12,1041364,1041796,,,,,,,,,,,,,,,,,,,,,,
YMR146C,TIF34,13,558524,559198,,,,,,,,,,,,,,,,,,,,,,
YMR152W,YIM1,13,562527,563094,,,,,,,,,,,,,,,,,,,,,,
YMR167W,MLH1,13,594472,594884,,,,,,,,,,,,,,,,,,,,,,
YMR172W,HOT1,13,605519,605979,,,,,,,,,,,,,,,,,,,,,,
YMR189W,GCV2,13,637003,637498,,,,,,,,,,,,,,,,,,,,,,
YMR211W,DML1,13,688864,689081,,,,,,,,,,,,,,,,,,,,,,
YMR217W,GUA1,13,701038,701788,,,,,,,,,,,,,,,,,,,,,,
YNL190W,,14,281504,282393,,,,,,,,,,,,,,,,,,,,,,
YNL196C,SLZ1,14,271171,271522,,,,,,,,,,,,,,,,,,,,,,
YNL214W,PEX17,14,245429,245615,,,,,,,,,,,,,,,,,,,,,,
YNL220W,ADE12,14,233694,234411,,,,,,,,,,,,,,,,,,,,,,
YNL238W,KEX2,14,201932,202426,,,,,,,,,,,,,,,,,,,,,,
YNL244C,SUI1,14,187496,188050,,,,,,,,,,,,,,,,,,,,,,
YNL262W,POL2,14,147839,148210,,,,,,,,,,,,,,,,,,,,,,
YNL268W,LYP1,14,138093,138548,,,,,,,,,,,,,,,,,,,,,,
YOL151W,GRE2,15,42692,43691,2.508,2.096,2.183,2.522,2.267,,,,,,,,,2.011,1.367,1.21,1.354,1.447,0.929,1.008,1,1
YOL157C,,15,24294,25272,3.279,2.891,2.953,3.188,2.859,,,,0.654,,,0.514,0.511,0.78,0.665,0.999,1.26,0.856,3.76,4.81,1,2
YOR008C-A,,15,343082,344081,,,,,,,,,,,,,,,,,,,,,,
YOR014W,RTS1,15,356955,357672,,,,,,,,,,,,,,,,,,,,,,
YOR032C,HMS1,15,391075,392074,0.791,0.694,0.914,1.268,1.391,,,,0.437,,,0.761,,0.634,0.607,0.483,0.606,0.671,0.986,0.786,3,1
YOR038C,HIR2,15,405388,405767,,,,,,,,,,,,,,,,,,,,,,
YOR056C,NOB1,15,431628,432187,,,,,,,,,,,,,,,,,,,,,,
YOR062C,,15,443533,444532,0.712,0.845,0.647,1.097,1.052,,,,0.369,,,0.335,,0.907,0.85,0.664,0.915,0.878,0.516,0.521,1,1
YOR360C,PDE2,15,1014818,1015357,,,,,,,,,,,,,,,,,,,,,,
YOR384W,FRE5,15,1061051,1061559,,,,,,,,,,,,,,,,,,,,,,
YOR390W,,15,1076083,1076779,,,,,,,,,,,,,,,,,,,,,,
YPL014W,,16,526880,527543,,,,,,,,,,,,,,0.179,0.548,0.374,0.405,0.269,,,,3
YPL020C,ULP1,16,514177,514509,,,,,,,,,,,,,,,,,,,,,,
YPL038W,MET31,16,480370,480531,,,,,,,,,,,,,,,,,,,,,,
YPR061C,JID1,16,676880,677162,,,,,,,,,,,,,,,,,,,,,,
YPR067W,ISA2,16,682109,682216,,,,,,,,,,,,,,,,,,,,,,
YPR085C,,16,709827,710099,,,,,,,,,,,,,,,,,,,,,,
YPR091C,,16,718467,719466,,,,,,,,,,,,,,,,,,,,0.338,,
YPR109W,,16,744385,744686,,,,,,,,,,,,,,,,,,,,,,
YPR115W,,16,754246,754874,,,,,,,,,,,,,,,,,,,,,,
YPR133C,SPN1,16,797207,797553,,,,,,,,,,,,,,,,,,,,,,
YPR137C-B,,16,810266,810980,,,,,,,,,,,,,,,,,,,,,,
YCL001W-B,,3,113538,113766,,,,,,,,,,,,,,,,,,,,,,
YDL085C-A,,4,302671,303211,,,,,,,,,,,,,,,,,,,,,,
YFR012W-A,,6,168489,169215,,,,,,,,,,,,,,,,,,,,,,
YJL062W-A,,10,316391,316638,,,,,,,,,,,,,,,,,,,,,,
YBR033W,EDS1,2,301254,301943,,,,,,,,,,,,0.652,,,,,,,,,,
YBR039W,ATP3,2,314788,315574,,,,,,,,,,,,,,,,,,,,,,
YBR057C,MUM2,2,353292,353670,,,,,,,,,,,,,,,,,,,,,,
YBR063C,,2,368183,368582,,,,,,,,,,,,,,,,,,,,,,
YBR081C,SPT7,2,405246,406245,0.243,0.419,0.707,0.623,0.497,,,,,,,,,,,,,,,0.377,2,
YBR086C,IST2,2,423036,423759,,,,,,,,,,,,,,,,,,,,,,
YBR103W,SIF2,2,447317,447702,,,,,,,,,,,,,,,,,,,,,,
YBR109C,CMD1,2,458357,458866,,,,,,,,,,,,,,,,,,,,,,
YCR047C,BUD23,3,211541,211924,,,,,,,,,,,,,,,,,,,,,,
YCR068W,ATG15,3,236317,237208,0.375,0.365,0.715,0.934,0.835,,,,,,,,,,,,,,,,3,
YCR075C,ERS1,3,248812,248971,,,,,,,,,,,,,,,,,,,,,,
YCR094W,CDC50,3,286439,286757,,,,,,,,,,,,,,,,,,,,,,
YCR100C,,3,302218,302478,,,,,,,,,,,0.381,,,,,,,,,,,
YDL010W,,4,431514,432326,,,,,,,,,,,,,,,,,,,,,,
YDR067C,,4,583463,583710,,,,,,,,,,,,,,,,,,,,,,
YDR073W,SNF11,4,591435,592434,0.209,0.488,0.566,0.786,0.762,,,,0.502,,,,,0.88,0.979,0.835,0.727,0.815,,0.346,2,1
YDR091C,RLI1,4,628530,629529,,,,,,,,,,,,,,,,,,,,,,
YDR097C,MSH6,4,643833,644173,,,,,,,,,,,,,,,,,,,,,,
YDR113C,PDS1,4,681613,682170,,,,,,,,,,,,,,,,,,,,,,
YDR119W,,4,687835,688221,,,,,,,,,,,,,,,,,,,,,,
YDR137W,RGP1,4,727546,728253,,,,,,,,,,,,,,,,,,,,,,
YDR143C,SAN1,4,743870,744306,,,,,,,,,,,,,,,,,,,,,,
YDR439W,LRS4,4,1339376,1339665,,,,,,,,,,,,,,,,,,,,,,
YDR457W,TOM1,4,1369376,1369779,,,,,,,,,,,,,,,,,,,,,,
YDR463W,STP1,4,1386506,1386805,,,,,,,,,,,,,,,,,,,,,,
YDR481C,PHO8,4,1420241,1420421,,,,,,,,,,,,,,,,,,,,,,
YDR487C,RIB3,4,1428971,1429178,,,,,,,,,,,,,,,,,,,,,,
YDR505C,PSP1,4,1459211,1459718,0.705,0.695,1.08,1.452,1.357,,,,,,,,,,,,,,,,3,
YDR511W,ACN9,4,1469695,1470006,,,,,,,,,,,,,,,,,,,,,,
YER175C,TMT1,5,540359,540645,,,,,,,,,,,,,,,,,,,,,,
YFL006W,,6,123101,123473,,,,,,,,,,,,,,,,,,,,,,
YFL011W,HXT10,6,111339,112338,,,,,,,,,,,,,,,,,,,,,,
YFL027C,GYP8,6,81911,82578,,,,,,,,,,,,,,,,,,,,,,
YFL033C,RIM15,6,74426,75177,,,,,,,,,,,,,,,,,,,,,,
YFL050C,ALR2,6,35849,36803,,,,,,,,,,,,,,,,,,,,,,
YFL056C,AAD6,6,15432,16431,,,,,,,,,,,,,,,,,,,,,,
YGL233W,SEC15,7,58890,59121,,,,,,,,,,,,,,,,,,,,,,
YGL257C,MNT2,7,14158,14910,,,,,,,,,,,,,,,,,,,,,,
YGL263W,COS12,7,1790,2789,,,,,,,,,,,,,,0.656,1.261,1.92,0.824,1.592,,,,3
YGR024C,THG1,7,532601,532989,,,,,,,,,,,,,,,,,,,,,,
YGR038W,ORM1,7,559998,560685,,,,,,,,,,,,,,,,,,,,,,
YGR044C,RME1,7,583897,583938,,,,,,,,,,,,,,,,,,,,,,
YHR001W,OSH7,8,105085,106048,,,,,,,,,,,,,,,,,,,,,,
YHR017W,YSC83,8,138447,138685,,,,,,,,,,,,,,,,,,,,,,
YHR022C,,8,150338,151209,0.149,0.855,1.234,1.267,1.137,,,,,,,,0.501,0.963,1.182,1.232,1.372,1.282,,0.875,2,1
YHR039C-A,VMA10,8,187672,187916,,,,,,,,,,,,,,,,,,,,,,
YHR045W,,8,194800,195542,,,,,,,,,,,,,,,,,,,,,,
YHR062C,RPP1,8,223760,224031,,,,,,,,,,,,,,,,,,,,,,
YHR068W,DYS1,8,231813,232133,,,,,,,,,,,,,,,,,,,,,,
YIL145C,PAN6,9,77284,78074,,,,,,,,,,,,,,,,,,,,,,
YIL151C,,9,60695,61013,,,,,,,,,,,,,,,,,,,,,,
YIL169C,,9,26107,27106,0.466,0.328,0.717,0.964,0.76,,,,,,,,,,,,,,,0.431,3,
YIL175W,,9,8183,9182,,,,,,,,,,,,,,0.225,0.413,0.628,0.723,0.509,,,,2
YIR016W,,9,382379,382624,,,,,,,,,,,,,,0.149,0.569,0.4,0.631,0.303,,,,2
YIR021W,MRS1,9,396291,397290,,,,,,,,,,,,,,,,,,,,,,
YIR039C,YPS6,9,432108,433107,,,,,,,,,,,,,2.003,,,,,,,,,
YJL001W,PRE3,10,434566,435077,,,,,,,,,,,,,,,,,,,,,,
YJR084W,CSN12,10,583451,583646,,,,,,,,,,,,,,,,,,,,,,
YJR090C,GRR1,10,594242,594975,,,,,,,,,,,,,,,,,,,,,,
YJR107W,,10,626928,627253,,,,,,,,,,,,,,,,,,,,,,
YJR113C,RSM7,10,638891,639857,1.265,1.686,1.886,2.221,2.07,,,,,,,0.514,,0.796,1.06,0.992,1.176,0.896,0.478,0.933,1,2
YJR131W,MNS1,10,667052,667558,,,,,,,,,,,,,,,,,,,,,,
YJR136C,,10,678622,678872,,,,,,,,,,,,,,,,,,,,,,
